UF,Municipio,RDPC
Amazonas,GUAJARÁ,191.04
Amazonas,HUMAITÁ,382.13
Amazonas,IPIXUNA,154.54
Amazonas,IRANDUBA,349.23
Amazonas,ITACOATIARA,373.71
Amazonas,ITAMARATI,214.95
Amazonas,ITAPIRANGA,321.94
Amazonas,JAPURÁ,248.6
Amazonas,JURUÁ,227.39
Amazonas,JUTAÍ,214.36
Amazonas,LÁBREA,227.62
Amazonas,MANACAPURU,342.58
Amazonas,MANAQUIRI,254.15
Amazonas,MANAUS,790.27
Amazonas,MANICORÉ,295.23
Amazonas,MARAÃ,144.99
Amazonas,MAUÉS,244.3
Amazonas,NHAMUNDÁ,195.12
Amazonas,NOVA OLINDA DO NORTE,232.07
Amazonas,NOVO AIRÃO,246.44
Amazonas,NOVO ARIPUANÃ,219.69
Amazonas,PARINTINS,313.07
Amazonas,PAUINI,218.21
Amazonas,PRESIDENTE FIGUEIREDO,396.51
Amazonas,RIO PRETO DA EVA,315.24
Amazonas,SANTA ISABEL DO RIO NEGRO,141.04
Amazonas,SANTO ANTÔNIO DO IÇÁ,122.21
Amazonas,SÃO GABRIEL DA CACHOEIRA,355.51
Amazonas,SÃO PAULO DE OLIVENÇA,150.28
Amazonas,SÃO SEBASTIÃO DO UATUMÃ,262.79
Amazonas,SILVES,238.53
Amazonas,TABATINGA,338.4
Amazonas,TAPAUÁ,193.97
Amazonas,TEFÉ,421.41
Amazonas,TONANTINS,189.15
Amazonas,UARINI,223.11
Amazonas,URUCARÁ,246.99
Amazonas,URUCURITUBA,227.55
Roraima,AMAJARI,121.32
Roraima,ALTO ALEGRE,201.32
Roraima,BOA VISTA,786.55
Roraima,BONFIM,329.22
Roraima,CANTÁ,297.59
Roraima,CARACARAÍ,336.05
Roraima,CAROEBE,334.97
Roraima,IRACEMA,261.18
Roraima,MUCAJAÍ,487.66
Roraima,NORMANDIA,203.43
Roraima,PACARAIMA,388.35
Roraima,RORAINÓPOLIS,284.22
Roraima,SÃO JOÃO DA BALIZA,365.67
Roraima,SÃO LUIZ,344.73
Roraima,UIRAMUTÃ,123.16
Pará,ABAETETUBA,293.01
Pará,ABEL FIGUEIREDO,390.12
Pará,ACARÁ,199.34
Pará,AFUÁ,163.98
Pará,ÁGUA AZUL DO NORTE,266.02
Pará,ALENQUER,215.33
Pará,ALMEIRIM,484.16
Pará,ALTAMIRA,492.05
Pará,ANAJÁS,186.88
Pará,ANANINDEUA,564.76
Pará,ANAPU,266.28
Pará,AUGUSTO CORRÊA,159.05
Pará,AURORA DO PARÁ,184.39
Pará,AVEIRO,148.71
Pará,BAGRE,159.41
Pará,BAIÃO,226.99
Pará,BANNACH,416.31
Pará,BARCARENA,437.43
Pará,BELÉM,853.82
Pará,BELTERRA,241.57
Pará,BENEVIDES,385.83
Pará,BOM JESUS DO TOCANTINS,337.28
Pará,BONITO,218.05
Pará,BRAGANÇA,311.97
Pará,BRASIL NOVO,408.55
Pará,BREJO GRANDE DO ARAGUAIA,310.08
Pará,BREU BRANCO,252.31
Pará,BREVES,209.14
Pará,BUJARU,174.18
Pará,CACHOEIRA DO PIRIÁ,130.4
Pará,CACHOEIRA DO ARARI,209.79
Pará,CAMETÁ,226.99
Pará,CANAÃ DOS CARAJÁS,517.33
Pará,CAPANEMA,356.27
Pará,CAPITÃO POÇO,283.1
Pará,CASTANHAL,467.32
Pará,CHAVES,198.83
Pará,COLARES,231.98
Pará,CONCEIÇÃO DO ARAGUAIA,405.29
Pará,CONCÓRDIA DO PARÁ,260.68
Pará,CUMARU DO NORTE,417.06
Pará,CURIONÓPOLIS,319.35
Pará,CURRALINHO,188.88
Pará,CURUÁ,180.94
Pará,CURUÇÁ,233.96
Pará,DOM ELISEU,348.04
Pará,ELDORADO DOS CARAJÁS,281.12
Pará,FARO,180.47
Pará,FLORESTA DO ARAGUAIA,283.57
Pará,GARRAFÃO DO NORTE,229.91
Pará,GOIANÉSIA DO PARÁ,303.9
Pará,GURUPÁ,191.06
Pará,IGARAPÉ-AÇU,293.71
Pará,IGARAPÉ-MIRI,196.34
Pará,INHANGAPI,245.7
Pará,IPIXUNA DO PARÁ,188.48
Pará,IRITUIA,224.25
Pará,ITAITUBA,440.6
Pará,ITUPIRANGA,234.25
Pará,JACAREACANGA,289.16
Pará,JACUNDÁ,399.45
Pará,JURUTI,241.39
Pará,LIMOEIRO DO AJURU,172.12
Pará,MÃE DO RIO,367.01
Pará,MAGALHÃES BARATA,208.43
Pará,MARABÁ,527.86
Pará,MARACANÃ,221.89
Pará,MARAPANIM,277.01
Pará,MARITUBA,382.02
Pará,MEDICILÂNDIA,345.44
Pará,MELGAÇO,135.21
Pará,MOCAJUBA,229.18
Pará,MOJU,291.67
Pará,MONTE ALEGRE,231.65
Pará,MUANÁ,230.14
Pará,NOVA ESPERANÇA DO PIRIÁ,160.34
Pará,NOVA IPIXUNA,315.1
Pará,NOVA TIMBOTEUA,267.59
Pará,NOVO PROGRESSO,658.31
Pará,NOVO REPARTIMENTO,256.37
Pará,ÓBIDOS,255.03
Pará,OEIRAS DO PARÁ,181.86
Pará,ORIXIMINÁ,332.29
Pará,OURÉM,285.61
Pará,OURILÂNDIA DO NORTE,466.52
Pará,PACAJÁ,231.91
Pará,PALESTINA DO PARÁ,284.54
Pará,PARAGOMINAS,507.16
Pará,PARAUAPEBAS,627.61
Pará,PAU D'ARCO,279.72
Pará,PEIXE-BOI,234.4
Pará,PIÇARRA,263.04
Pará,PLACAS,231.94
Pará,PONTA DE PEDRAS,257.4
Pará,PORTEL,195.22
Pará,PORTO DE MOZ,193.52
Pará,PRAINHA,193.32
Pará,PRIMAVERA,279.74
Pará,QUATIPURU,244.9
Pará,REDENÇÃO,529.54
Pará,RIO MARIA,460.83
Pará,RONDON DO PARÁ,346.74
Pará,RURÓPOLIS,242.49
Pará,SALINÓPOLIS,398.58
Pará,SALVATERRA,296.28
Pará,SANTA BÁRBARA DO PARÁ,287.25
Pará,SANTA CRUZ DO ARARI,161.13
Pará,SANTA ISABEL DO PARÁ,384.17
Pará,SANTA LUZIA DO PARÁ,217.11
Pará,SANTA MARIA DAS BARREIRAS,253.55
Pará,SANTA MARIA DO PARÁ,323.98
Pará,SANTANA DO ARAGUAIA,316.81
Pará,SANTARÉM,409.07
Pará,SANTARÉM NOVO,203
Pará,SANTO ANTÔNIO DO TAUÁ,331.12
Pará,SÃO CAETANO DE ODIVELAS,247.8
Pará,SÃO DOMINGOS DO ARAGUAIA,400.66
Pará,SÃO DOMINGOS DO CAPIM,189.39
Pará,SÃO FÉLIX DO XINGU,423.85
Pará,SÃO FRANCISCO DO PARÁ,279.19
Pará,SÃO GERALDO DO ARAGUAIA,322.95
Pará,SÃO JOÃO DA PONTA,206.18
Pará,SÃO JOÃO DE PIRABAS,215.54
Pará,SÃO JOÃO DO ARAGUAIA,216.86
Pará,SÃO MIGUEL DO GUAMÁ,299.95
Pará,SÃO SEBASTIÃO DA BOA VISTA,202.85
Pará,SAPUCAIA,426.86
Pará,SENADOR JOSÉ PORFÍRIO,219.97
Pará,SOURE,300.59
Pará,TAILÂNDIA,300.85
Pará,TERRA ALTA,252.51
Pará,TERRA SANTA,338.44
Pará,TOMÉ-AÇU,326.18
Pará,TRACUATEUA,195.97
Pará,TRAIRÃO,322.61
Pará,TUCUMÃ,517.86
Pará,TUCURUÍ,534.02
Pará,ULIANÓPOLIS,558.72
Pará,URUARÁ,353.67
Pará,VIGIA,323.12
Pará,VISEU,160.09
Pará,VITÓRIA DO XINGU,323.18
Pará,XINGUARA,520.57
Amapá,SERRA DO NAVIO,484.63
Amapá,AMAPÁ,406.9
Amapá,PEDRA BRANCA DO AMAPARI,397.98
Amapá,CALÇOENE,417.71
Amapá,CUTIAS,287.41
Amapá,FERREIRA GOMES,416.72
Amapá,ITAUBAL,213.26
Amapá,LARANJAL DO JARI,432.92
Amapá,MACAPÁ,717.88
Amapá,MAZAGÃO,353.61
Amapá,OIAPOQUE,598.38
Amapá,PORTO GRANDE,356.65
Amapá,PRACUÚBA,228.81
Amapá,SANTANA,469.24
Amapá,TARTARUGALZINHO,250.2
Amapá,VITÓRIA DO JARI,309.39
Tocantins,ABREULÂNDIA,624.03
Tocantins,AGUIARNÓPOLIS,374.27
Tocantins,ALIANÇA DO TOCANTINS,357.08
Tocantins,ALMAS,369.39
Tocantins,ALVORADA,539.26
Tocantins,ANANÁS,380.36
Tocantins,ANGICO,288.86
Tocantins,APARECIDA DO RIO NEGRO,320.54
Tocantins,ARAGOMINAS,357.45
Tocantins,ARAGUACEMA,308.94
Tocantins,ARAGUAÇU,435.22
Tocantins,ARAGUAÍNA,737.63
Tocantins,ARAGUANÃ,372.96
Tocantins,ARAGUATINS,342.07
Tocantins,ARAPOEMA,442.33
Tocantins,ARRAIAS,418.64
Tocantins,AUGUSTINÓPOLIS,364.32
Tocantins,AURORA DO TOCANTINS,535.8
Tocantins,AXIXÁ DO TOCANTINS,324.56
Tocantins,BABAÇULÂNDIA,313.37
Tocantins,BANDEIRANTES DO TOCANTINS,278
Tocantins,BARRA DO OURO,256.28
Tocantins,BARROLÂNDIA,335.26
Tocantins,BERNARDO SAYÃO,347.03
Tocantins,BOM JESUS DO TOCANTINS,381.43
Tocantins,BRASILÂNDIA DO TOCANTINS,428.48
Tocantins,BREJINHO DE NAZARÉ,414.87
Tocantins,BURITI DO TOCANTINS,287.05
Tocantins,CACHOEIRINHA,241.7
Tocantins,CAMPOS LINDOS,292.64
Tocantins,CARIRI DO TOCANTINS,425.49
Tocantins,CARMOLÂNDIA,382.31
Tocantins,CARRASCO BONITO,234.45
Tocantins,CASEARA,447.52
Tocantins,CENTENÁRIO,280.17
Tocantins,CHAPADA DE AREIA,376.48
Tocantins,CHAPADA DA NATIVIDADE,315.34
Tocantins,COLINAS DO TOCANTINS,587.11
Tocantins,COMBINADO,455.39
Tocantins,CONCEIÇÃO DO TOCANTINS,310.96
Tocantins,COUTO MAGALHÃES,284.33
Tocantins,CRISTALÂNDIA,495.57
Tocantins,CRIXÁS DO TOCANTINS,341.27
Tocantins,DARCINÓPOLIS,327.64
Tocantins,DIANÓPOLIS,528.6
Tocantins,DIVINÓPOLIS DO TOCANTINS,507.04
Tocantins,DOIS IRMÃOS DO TOCANTINS,245.98
Tocantins,DUERÉ,467.9
Tocantins,ESPERANTINA,174.51
Tocantins,FÁTIMA,464.94
Tocantins,FIGUEIRÓPOLIS,498.31
Tocantins,FILADÉLFIA,291.57
Tocantins,FORMOSO DO ARAGUAIA,429.17
Tocantins,FORTALEZA DO TABOCÃO,370
Tocantins,GOIANORTE,329.64
Tocantins,GOIATINS,232.19
Tocantins,GUARAÍ,722.83
Tocantins,GURUPI,778.9
Tocantins,IPUEIRAS,288.55
Tocantins,ITACAJÁ,304.55
Tocantins,ITAGUATINS,281.62
Tocantins,ITAPIRATINS,357.54
Tocantins,ITAPORÃ DO TOCANTINS,363.13
Tocantins,JAÚ DO TOCANTINS,523.53
Tocantins,JUARINA,265.5
Tocantins,LAGOA DA CONFUSÃO,404.61
Tocantins,LAGOA DO TOCANTINS,235.28
Tocantins,LAJEADO,527.21
Tocantins,LAVANDEIRA,330.96
Tocantins,LIZARDA,302.83
Tocantins,LUZINÓPOLIS,319.83
Tocantins,MARIANÓPOLIS DO TOCANTINS,403.96
Tocantins,MATEIROS,307.46
Tocantins,MAURILÂNDIA DO TOCANTINS,233.68
Tocantins,MIRACEMA DO TOCANTINS,533.46
Tocantins,MIRANORTE,410.45
Tocantins,MONTE DO CARMO,351.96
Tocantins,MONTE SANTO DO TOCANTINS,280.98
Tocantins,PALMEIRAS DO TOCANTINS,307.43
Tocantins,MURICILÂNDIA,234.22
Tocantins,NATIVIDADE,446.32
Tocantins,NAZARÉ,302.39
Tocantins,NOVA OLINDA,365.84
Tocantins,NOVA ROSALÂNDIA,299.38
Tocantins,NOVO ACORDO,374.83
Tocantins,NOVO ALEGRE,433.31
Tocantins,NOVO JARDIM,259.32
Tocantins,OLIVEIRA DE FÁTIMA,396.97
Tocantins,PALMEIRANTE,267.76
Tocantins,PALMEIRÓPOLIS,463.45
Tocantins,PARAÍSO DO TOCANTINS,899.57
Tocantins,PARANÃ,311.37
Tocantins,PAU D'ARCO,380.41
Tocantins,PEDRO AFONSO,618.56
Tocantins,PEIXE,547.9
Tocantins,PEQUIZEIRO,313.34
Tocantins,COLMÉIA,442.96
Tocantins,PINDORAMA DO TOCANTINS,293.47
Tocantins,PIRAQUÊ,319.42
Tocantins,PIUM,411.25
Tocantins,PONTE ALTA DO BOM JESUS,313.2
Tocantins,PONTE ALTA DO TOCANTINS,308.4
Tocantins,PORTO ALEGRE DO TOCANTINS,305.98
Tocantins,PORTO NACIONAL,621.1
Tocantins,PRAIA NORTE,210.53
Tocantins,PRESIDENTE KENNEDY,398.02
Tocantins,PUGMIL,380.52
Tocantins,RECURSOLÂNDIA,168.85
Tocantins,RIACHINHO,182.97
Tocantins,RIO DA CONCEIÇÃO,256.83
Tocantins,RIO DOS BOIS,310.91
Tocantins,RIO SONO,285.17
Tocantins,SAMPAIO,239.06
Tocantins,SANDOLÂNDIA,393.98
Tocantins,SANTA FÉ DO ARAGUAIA,342.15
Tocantins,SANTA MARIA DO TOCANTINS,334.09
Tocantins,SANTA RITA DO TOCANTINS,402.99
Tocantins,SANTA ROSA DO TOCANTINS,284.63
Tocantins,SANTA TEREZA DO TOCANTINS,373.96
Tocantins,SANTA TEREZINHA DO TOCANTINS,301.14
Tocantins,SÃO BENTO DO TOCANTINS,324.27
Tocantins,SÃO FÉLIX DO TOCANTINS,244.55
Tocantins,SÃO MIGUEL DO TOCANTINS,298.31
Tocantins,SÃO SALVADOR DO TOCANTINS,318.39
Tocantins,SÃO SEBASTIÃO DO TOCANTINS,198.01
Tocantins,SÃO VALÉRIO,344.49
Tocantins,SILVANÓPOLIS,423.43
Tocantins,SÍTIO NOVO DO TOCANTINS,245.11
Tocantins,SUCUPIRA,386.22
Tocantins,TAGUATINGA,399.35
Tocantins,TAIPAS DO TOCANTINS,292.72
Tocantins,TALISMÃ,467.87
Tocantins,PALMAS,1087.35
Tocantins,TOCANTÍNIA,277.25
Tocantins,TOCANTINÓPOLIS,414.08
Tocantins,TUPIRAMA,401.76
Tocantins,TUPIRATINS,337.79
Tocantins,WANDERLÂNDIA,376.35
Tocantins,XAMBIOÁ,450.43
Maranhão,AÇAILÂNDIA,438.56
Maranhão,AFONSO CUNHA,149.78
Maranhão,ÁGUA DOCE DO MARANHÃO,172.55
Maranhão,ALCÂNTARA,209.27
Maranhão,ALDEIAS ALTAS,179.92
Maranhão,ALTAMIRA DO MARANHÃO,164.24
Maranhão,ALTO ALEGRE DO MARANHÃO,198.43
Maranhão,ALTO ALEGRE DO PINDARÉ,144.91
Maranhão,ALTO PARNAÍBA,559.61
Maranhão,AMAPÁ DO MARANHÃO,182.63
Maranhão,AMARANTE DO MARANHÃO,231.79
Maranhão,ANAJATUBA,207.65
Maranhão,ANAPURUS,192.8
Maranhão,APICUM-AÇU,215.17
Maranhão,ARAGUANÃ,161.57
Maranhão,ARAIOSES,175.81
Maranhão,ARAME,210.09
Maranhão,ARARI,308.83
Maranhão,AXIXÁ,223.51
Maranhão,BACABAL,375.57
Maranhão,BACABEIRA,257.4
Maranhão,BACURI,230.45
Maranhão,BACURITUBA,152.38
Maranhão,BALSAS,531.6
Maranhão,BARÃO DE GRAJAÚ,292.55
Maranhão,BARRA DO CORDA,305.61
Maranhão,BARREIRINHAS,197.08
Maranhão,BELÁGUA,107.14
Maranhão,BELA VISTA DO MARANHÃO,197.65
Maranhão,BENEDITO LEITE,217.65
Maranhão,BEQUIMÃO,190.84
Maranhão,BERNARDO DO MEARIM,236.18
Maranhão,BOA VISTA DO GURUPI,196.78
Maranhão,BOM JARDIM,202.28
Maranhão,BOM JESUS DAS SELVAS,226.09
Maranhão,BOM LUGAR,164.44
Maranhão,BREJO,200.25
Maranhão,BREJO DE AREIA,187.95
Maranhão,BURITI,157.21
Maranhão,BURITI BRAVO,229.21
Maranhão,BURITICUPU,220.64
Maranhão,BURITIRANA,230.11
Maranhão,CACHOEIRA GRANDE,110.65
Maranhão,CAJAPIÓ,145.01
Maranhão,CAJARI,136.39
Maranhão,CAMPESTRE DO MARANHÃO,358
Maranhão,CÂNDIDO MENDES,203.94
Maranhão,CANTANHEDE,176.61
Maranhão,CAPINZAL DO NORTE,200.15
Maranhão,CAROLINA,334.51
Maranhão,CARUTAPERA,220.91
Maranhão,CAXIAS,324.9
Maranhão,CEDRAL,202.86
Maranhão,CENTRAL DO MARANHÃO,182.77
Maranhão,CENTRO DO GUILHERME,190.58
Maranhão,CENTRO NOVO DO MARANHÃO,188.88
Maranhão,CHAPADINHA,251.75
Maranhão,CIDELÂNDIA,263.53
Maranhão,CODÓ,273.45
Maranhão,COELHO NETO,236.47
Maranhão,COLINAS,279.81
Maranhão,CONCEIÇÃO DO LAGO-AÇU,170.79
Maranhão,COROATÁ,237.3
Maranhão,CURURUPU,274.39
Maranhão,DAVINÓPOLIS,263.12
Maranhão,DOM PEDRO,298.33
Maranhão,DUQUE BACELAR,163.87
Maranhão,ESPERANTINÓPOLIS,262.41
Maranhão,ESTREITO,503.29
Maranhão,FEIRA NOVA DO MARANHÃO,192.39
Maranhão,FERNANDO FALCÃO,106.99
Maranhão,FORMOSA DA SERRA NEGRA,163.15
Maranhão,FORTALEZA DOS NOGUEIRAS,271.6
Maranhão,FORTUNA,257.81
Maranhão,GODOFREDO VIANA,225.47
Maranhão,GONÇALVES DIAS,233.2
Maranhão,GOVERNADOR ARCHER,237.47
Maranhão,GOVERNADOR EDISON LOBÃO,312.56
Maranhão,GOVERNADOR EUGÊNIO BARROS,245.38
Maranhão,GOVERNADOR LUIZ ROCHA,188.68
Maranhão,GOVERNADOR NEWTON BELLO,190.15
Maranhão,GOVERNADOR NUNES FREIRE,230.94
Maranhão,GRAÇA ARANHA,227.51
Maranhão,GRAJAÚ,340.1
Maranhão,GUIMARÃES,223.14
Maranhão,HUMBERTO DE CAMPOS,125.91
Maranhão,ICATU,154.09
Maranhão,IGARAPÉ DO MEIO,216.25
Maranhão,IGARAPÉ GRANDE,292.16
Maranhão,IMPERATRIZ,613.87
Maranhão,ITAIPAVA DO GRAJAÚ,136.77
Maranhão,ITAPECURU MIRIM,221.87
Maranhão,ITINGA DO MARANHÃO,336.91
Maranhão,JATOBÁ,206.58
Maranhão,JENIPAPO DOS VIEIRAS,127.24
Maranhão,JOÃO LISBOA,303.91
Maranhão,JOSELÂNDIA,221.23
Maranhão,JUNCO DO MARANHÃO,244.54
Maranhão,LAGO DA PEDRA,263.13
Maranhão,LAGO DO JUNCO,226.69
Maranhão,LAGO VERDE,188.31
Maranhão,LAGOA DO MATO,210.29
Maranhão,LAGO DOS RODRIGUES,252.89
Maranhão,LAGOA GRANDE DO MARANHÃO,158.3
Maranhão,LAJEADO NOVO,263.2
Maranhão,LIMA CAMPOS,292.37
Maranhão,LORETO,198.73
Maranhão,LUÍS DOMINGUES,232.06
Maranhão,MAGALHÃES DE ALMEIDA,181.73
Maranhão,MARACAÇUMÉ,239.38
Maranhão,MARAJÁ DO SENA,96.25
Maranhão,MARANHÃOZINHO,176.36
Maranhão,MATA ROMA,161.49
Maranhão,MATINHA,294.51
Maranhão,MATÕES,202.66
Maranhão,MATÕES DO NORTE,133.33
Maranhão,MILAGRES DO MARANHÃO,144.42
Maranhão,MIRADOR,163.97
Maranhão,MIRANDA DO NORTE,245.25
Maranhão,MIRINZAL,239
Maranhão,MONÇÃO,178.1
Maranhão,MONTES ALTOS,221.57
Maranhão,MORROS,164.07
Maranhão,NINA RODRIGUES,152.75
Maranhão,NOVA COLINAS,181.59
Maranhão,NOVA IORQUE,257.61
Maranhão,NOVA OLINDA DO MARANHÃO,225.16
Maranhão,OLHO D'ÁGUA DAS CUNHÃS,247.36
Maranhão,OLINDA NOVA DO MARANHÃO,173.63
Maranhão,PAÇO DO LUMIAR,444.5
Maranhão,PALMEIRÂNDIA,167.06
Maranhão,PARAIBANO,281.23
Maranhão,PARNARAMA,183.8
Maranhão,PASSAGEM FRANCA,210.4
Maranhão,PASTOS BONS,230.94
Maranhão,PAULINO NEVES,159.46
Maranhão,PAULO RAMOS,239.23
Maranhão,PEDREIRAS,441.42
Maranhão,PEDRO DO ROSÁRIO,154
Maranhão,PENALVA,201.99
Maranhão,PERI MIRIM,186.95
Maranhão,PERITORÓ,178.51
Maranhão,PINDARÉ-MIRIM,274.84
Maranhão,PINHEIRO,292.88
Maranhão,PIO XII,223.37
Maranhão,PIRAPEMAS,181.05
Maranhão,POÇÃO DE PEDRAS,234.72
Maranhão,PORTO FRANCO,497.56
Maranhão,PORTO RICO DO MARANHÃO,227.87
Maranhão,PRESIDENTE DUTRA,398.15
Maranhão,PRESIDENTE JUSCELINO,133.03
Maranhão,PRESIDENTE MÉDICI,201.15
Maranhão,PRESIDENTE SARNEY,164.13
Maranhão,PRESIDENTE VARGAS,149.19
Maranhão,PRIMEIRA CRUZ,129.85
Maranhão,RAPOSA,274
Maranhão,RIACHÃO,281.53
Maranhão,RIBAMAR FIQUENE,317.75
Maranhão,ROSÁRIO,271.65
Maranhão,SAMBAÍBA,233.92
Maranhão,SANTA FILOMENA DO MARANHÃO,140.76
Maranhão,SANTA HELENA,217.94
Maranhão,SANTA INÊS,411.04
Maranhão,SANTA LUZIA,210.3
Maranhão,SANTA LUZIA DO PARUÁ,301.39
Maranhão,SANTA QUITÉRIA DO MARANHÃO,168.77
Maranhão,SANTA RITA,249.26
Maranhão,SANTANA DO MARANHÃO,127.77
Maranhão,SANTO AMARO DO MARANHÃO,135.04
Maranhão,SANTO ANTÔNIO DOS LOPES,240.2
Maranhão,SÃO BENEDITO DO RIO PRETO,147.34
Maranhão,SÃO BENTO,210.47
Maranhão,SÃO BERNARDO,196.57
Maranhão,SÃO DOMINGOS DO AZEITÃO,288.68
Maranhão,SÃO DOMINGOS DO MARANHÃO,243.74
Maranhão,SÃO FÉLIX DE BALSAS,199.47
Maranhão,SÃO FRANCISCO DO BREJÃO,253.78
Maranhão,SÃO FRANCISCO DO MARANHÃO,182.63
Maranhão,SÃO JOÃO BATISTA,171.53
Maranhão,SÃO JOÃO DO CARÚ,165.38
Maranhão,SÃO JOÃO DO PARAÍSO,251.04
Maranhão,SÃO JOÃO DO SOTER,165.1
Maranhão,SÃO JOÃO DOS PATOS,362.47
Maranhão,SÃO JOSÉ DE RIBAMAR,435.4
Maranhão,SÃO JOSÉ DOS BASÍLIOS,180.77
Maranhão,SÃO LUÍS,805.36
Maranhão,SÃO LUÍS GONZAGA DO MARANHÃO,182.83
Maranhão,SÃO MATEUS DO MARANHÃO,396.29
Maranhão,SÃO PEDRO DA ÁGUA BRANCA,289.7
Maranhão,SÃO PEDRO DOS CRENTES,257.76
Maranhão,SÃO RAIMUNDO DAS MANGABEIRAS,301.25
Maranhão,SÃO RAIMUNDO DO DOCA BEZERRA,156.4
Maranhão,SÃO ROBERTO,153.65
Maranhão,SÃO VICENTE FERRER,184.71
Maranhão,SATUBINHA,131.73
Maranhão,SENADOR ALEXANDRE COSTA,203.17
Maranhão,SENADOR LA ROCQUE,277.19
Maranhão,SERRANO DO MARANHÃO,123.44
Maranhão,SÍTIO NOVO,190.06
Maranhão,SUCUPIRA DO NORTE,210.88
Maranhão,SUCUPIRA DO RIACHÃO,226.96
Maranhão,TASSO FRAGOSO,264.76
Maranhão,TIMBIRAS,177.46
Maranhão,TIMON,365.26
Maranhão,TRIZIDELA DO VALE,269.74
Maranhão,TUFILÂNDIA,181.75
Maranhão,TUNTUM,221.27
Maranhão,TURIAÇU,171.5
