id;response_status;how_long_listening;age;nps_score;gender
11709735;Complete;6 months to less than a year;35-44;10;Female
11709793;Complete;1 year to less than 3 years;35-44;10;Female
11709808;Complete;1 year to less than 3 years;25-34;10;Male
11709897;Complete;3 years to less than 5 years;25-34;10;Female
11709928;Complete;6 months to less than a year;35-44;10;Female
11709951;Complete;1 year to less than 3 years;25-34;10;Female
11710000;Complete;1 year to less than 3 years;45-54;10;Female
11710010;Complete;6 months to less than a year;25-34;10;Male
11710110;Incomplete;6 months to less than a year;25-34;;
11710137;Complete;Less than 6 months;25-34;10;Female
11710150;Complete;6 months to less than a year;45-54;10;Female
11710154;Complete;6 months to less than a year;45-54;10;Male
11710333;Complete;1 year to less than 3 years;35-44;;Male
11710345;Complete;6 months to less than a year;35-44;10;Male
11710350;Complete;Less than 6 months;25-34;10;Female
11710397;Complete;1 year to less than 3 years;45-54;10;Female
11710415;Complete;5 years to less than 10 years;35-44;10;Female
11710573;Complete;Less than 6 months;55-64;10;Male
11710930;Complete;1 year to less than 3 years;18-24;8;Male
11711051;Complete;3 years to less than 5 years;35-44;10;Female
11711076;Complete;1 year to less than 3 years;55-64;10;Female
11711136;Complete;3 years to less than 5 years;45-54;10;Female
11711156;Complete;5 years to less than 10 years;25-34;7;Female
11711349;Complete;3 years to less than 5 years;25-34;10;Female
11711412;Complete;6 months to less than a year;18-24;10;Male
11711455;Complete;6 months to less than a year;18-24;10;Female
11711892;Complete;6 months to less than a year;35-44;10;Female
11711902;Complete;1 year to less than 3 years;25-34;10;Male
11711943;Complete;3 years to less than 5 years;45-54;10;Female
11711964;Complete;3 years to less than 5 years;25-34;10;Male
11711992;Complete;1 year to less than 3 years;45-54;10;Female
11712057;Complete;5 years to less than 10 years;45-54;8;Male
11712083;Complete;3 years to less than 5 years;25-34;6;Female
11712113;Complete;1 year to less than 3 years;45-54;10;Male
11712137;Complete;Less than 6 months;25-34;10;Male
11712226;Complete;1 year to less than 3 years;55-64;10;Female
11712286;Complete;1 year to less than 3 years;35-44;10;Female
11712318;Complete;1 year to less than 3 years;45-54;10;Male
11712587;Incomplete;1 year to less than 3 years;25-34;;
11712640;Complete;Less than 6 months;18-24;10;Female
11712751;Complete;3 years to less than 5 years;45-54;10;Female
11712822;Complete;3 years to less than 5 years;25-34;10;Male
11712849;Complete;Less than 6 months;18-24;10;Female
11712858;Complete;Less than 6 months;18-24;5;Male
11712901;Complete;3 years to less than 5 years;35-44;10;Female
11713111;Complete;3 years to less than 5 years;25-34;10;Female
11713183;Complete;1 year to less than 3 years;25-34;10;Female
11713315;Complete;1 year to less than 3 years;35-44;10;Male
11713358;Complete;3 years to less than 5 years;45-54;8;Male
11713376;Incomplete;6 months to less than a year;55-64;;
11713505;Complete;Less than 6 months;25-34;10;Female
11713606;Complete;1 year to less than 3 years;35-44;10;Female
11713643;Complete;3 years to less than 5 years;25-34;10;Female
11713781;Terminated;1 year to less than 3 years;Under 18;;
11713893;Complete;1 year to less than 3 years;55-64;10;Female
11713906;Complete;6 months to less than a year;18-24;10;Female
11714048;Incomplete;10 years to less than 15 years;45-54;;
11714071;Complete;1 year to less than 3 years;18-24;10;Female
11714138;Complete;1 year to less than 3 years;25-34;8;Female
11714183;Complete;5 years to less than 10 years;35-44;10;Female
11714225;Complete;3 years to less than 5 years;45-54;10;Female
11714364;Complete;1 year to less than 3 years;55-64;9;Female
11714488;Complete;5 years to less than 10 years;45-54;10;Male
11714690;Complete;1 year to less than 3 years;35-44;10;Female
11714768;Complete;Less than 6 months;55-64;0;Female
11714794;Complete;1 year to less than 3 years;45-54;10;Female
11714827;Complete;1 year to less than 3 years;55-64;7;Female
11714886;Complete;1 year to less than 3 years;45-54;9;Female
11714908;Complete;Less than 6 months;45-54;10;Male
11715130;Complete;5 years to less than 10 years;35-44;10;Female
11715258;Complete;Less than 6 months;25-34;10;Male
11715288;Complete;1 year to less than 3 years;35-44;10;Female
11715350;Complete;Less than 6 months;45-54;10;Female
11715369;Complete;Less than 6 months;18-24;10;Female
11715545;Complete;1 year to less than 3 years;18-24;7;Female
11715606;Complete;5 years to less than 10 years;18-24;10;Male
11716031;Complete;Less than 6 months;35-44;10;Male
11716109;Complete;Less than 6 months;25-34;10;Female
11716315;Complete;1 year to less than 3 years;35-44;8;Female
11716364;Complete;1 year to less than 3 years;18-24;10;Female
11716589;Complete;1 year to less than 3 years;35-44;10;Male
11716700;Complete;1 year to less than 3 years;35-44;8;Female
11716713;Incomplete;Less than 6 months;18-24;;
11716942;Complete;5 years to less than 10 years;55-64;10;Female
11717448;Incomplete;5 years to less than 10 years;45-54;;
11717586;Complete;Less than 6 months;35-44;10;Female
11717625;Complete;5 years to less than 10 years;55-64;10;Female
11717697;Incomplete;6 months to less than a year;55-64;;
11718064;Complete;Less than 6 months;35-44;9;Female
11718159;Terminated;1 year to less than 3 years;Under 18;;
11718230;Incomplete;6 months to less than a year;45-54;;
11718255;Complete;5 years to less than 10 years;25-34;10;Female
11718328;Complete;1 year to less than 3 years;25-34;10;Female
11718536;Complete;10 years to less than 15 years;25-34;10;Female
11718552;Incomplete;1 year to less than 3 years;55-64;;
11718638;Complete;1 year to less than 3 years;45-54;10;
11718653;Complete;3 years to less than 5 years;45-54;10;Female
11718992;Complete;5 years to less than 10 years;18-24;7;Female
11719000;Complete;Less than 6 months;35-44;10;Female
11719200;Complete;1 year to less than 3 years;55-64;10;Female
11719236;Complete;Less than 6 months;18-24;10;Female
11719243;Complete;6 months to less than a year;45-54;10;Female
11719362;Complete;1 year to less than 3 years;25-34;10;Female
11719500;Complete;1 year to less than 3 years;35-44;10;Female
11719708;Complete;Less than 6 months;18-24;8;Male
11719720;Complete;6 months to less than a year;25-34;10;Female
11719880;Complete;5 years to less than 10 years;18-24;10;Female
11720232;Complete;6 months to less than a year;18-24;10;Male
11720249;Complete;Less than 6 months;45-54;10;Female
11720679;Complete;Less than 6 months;25-34;10;Female
11720874;Complete;5 years to less than 10 years;35-44;10;Female
11720929;Complete;1 year to less than 3 years;25-34;8;Female
11720960;Complete;10 years to less than 15 years;55-64;10;Female
11721039;Incomplete;Less than 6 months;45-54;;
11721486;Complete;1 year to less than 3 years;55-64;10;Female
11721551;Complete;1 year to less than 3 years;25-34;10;Female
11721808;Complete;1 year to less than 3 years;25-34;10;Female
11721837;Complete;1 year to less than 3 years;55-64;10;Female
11721976;Incomplete;1 year to less than 3 years;25-34;;
11722606;Complete;6 months to less than a year;35-44;10;Male
11722817;Complete;6 months to less than a year;35-44;9;Male
11724219;Complete;5 years to less than 10 years;18-24;10;Female
11724404;Complete;More than 15 years;45-54;10;Female
11724977;Complete;1 year to less than 3 years;35-44;10;Female
11727277;Complete;3 years to less than 5 years;18-24;10;Female
11728545;Complete;Less than 6 months;25-34;10;Male
11729120;Incomplete;1 year to less than 3 years;25-34;;
11730782;Complete;Less than 6 months;35-44;10;Male
11732664;Complete;6 months to less than a year;65-74;10;Female
11735163;Complete;5 years to less than 10 years;35-44;10;Female
11737845;Complete;1 year to less than 3 years;18-24;10;Male
11739070;Complete;1 year to less than 3 years;45-54;10;Female
11740800;Complete;Less than 6 months;25-34;9;Female
11741216;Complete;1 year to less than 3 years;25-34;10;Female
11743655;Complete;10 years to less than 15 years;25-34;10;Female
11744310;Complete;1 year to less than 3 years;35-44;9;Female
11747005;Complete;Less than 6 months;35-44;5;Male
11748166;Complete;6 months to less than a year;35-44;10;Male
11748362;Complete;1 year to less than 3 years;18-24;8;Male
11748418;Complete;Less than 6 months;45-54;10;Female
11748920;Complete;Less than 6 months;45-54;10;Male
11750268;Complete;Less than 6 months;25-34;10;Female
11753829;Complete;3 years to less than 5 years;35-44;10;Female
11755110;Complete;6 months to less than a year;25-34;9;Female
11756686;Complete;1 year to less than 3 years;25-34;10;
11757610;Complete;10 years to less than 15 years;55-64;10;Female
11758982;Complete;6 months to less than a year;35-44;10;Female
11759143;Incomplete;3 years to less than 5 years;18-24;;
11759169;Complete;1 year to less than 3 years;35-44;10;Female
11759193;Complete;Less than 6 months;25-34;10;Female
11759200;Complete;3 years to less than 5 years;45-54;10;Female
11759219;Complete;1 year to less than 3 years;55-64;10;Female
11759273;Incomplete;Less than 6 months;18-24;;
11759319;Complete;Less than 6 months;25-34;10;Female
11759345;Complete;1 year to less than 3 years;35-44;10;Female
11759356;Complete;10 years to less than 15 years;45-54;9;Male
11759389;Complete;5 years to less than 10 years;55-64;10;Female
11759396;Complete;5 years to less than 10 years;55-64;10;Female
11759433;Terminated;3 years to less than 5 years;Under 18;;
11759468;Complete;3 years to less than 5 years;45-54;10;Female
11759588;Complete;Less than 6 months;45-54;10;Female
11759612;Complete;1 year to less than 3 years;18-24;10;Male
11759686;Incomplete;1 year to less than 3 years;35-44;;
11759801;Complete;5 years to less than 10 years;35-44;10;Female
11759849;Complete;10 years to less than 15 years;18-24;10;Female
11759986;Complete;Less than 6 months;25-34;10;Female
11760156;Complete;1 year to less than 3 years;25-34;10;Female
11760191;Complete;5 years to less than 10 years;18-24;8;Female
11760257;Complete;6 months to less than a year;35-44;10;Female
11760320;Complete;1 year to less than 3 years;35-44;10;Female
11760325;Complete;6 months to less than a year;25-34;10;Female
11760607;Complete;1 year to less than 3 years;25-34;9;Male
11760714;Complete;Less than 6 months;35-44;10;Male
11760772;Incomplete;1 year to less than 3 years;45-54;;
11760776;Complete;5 years to less than 10 years;45-54;10;Male
11760780;Complete;5 years to less than 10 years;55-64;10;Female
11760829;Complete;1 year to less than 3 years;18-24;10;Male
11760916;Complete;3 years to less than 5 years;55-64;10;Female
11760938;Complete;Less than 6 months;55-64;8;Female
11761017;Complete;1 year to less than 3 years;25-34;10;Female
11761303;Complete;1 year to less than 3 years;45-54;10;Male
11761319;Complete;5 years to less than 10 years;35-44;10;Female
11761422;Complete;Less than 6 months;55-64;10;Female
11761598;Complete;1 year to less than 3 years;18-24;10;Female
11761611;Incomplete;1 year to less than 3 years;55-64;;
11761896;Complete;10 years to less than 15 years;25-34;6;Female
11762088;Complete;1 year to less than 3 years;35-44;10;Male
11762103;Complete;Less than 6 months;35-44;;Male
11762122;Complete;6 months to less than a year;35-44;10;Female
11762168;Complete;3 years to less than 5 years;25-34;10;Male
11762434;Complete;5 years to less than 10 years;25-34;10;Female
11762623;Incomplete;1 year to less than 3 years;45-54;;
11762745;Complete;1 year to less than 3 years;18-24;9;Female
11763850;Complete;3 years to less than 5 years;45-54;10;Female
11764175;Complete;10 years to less than 15 years;25-34;10;Female
11764208;Complete;1 year to less than 3 years;35-44;10;Female
11764312;Complete;1 year to less than 3 years;45-54;10;Female
11764340;Complete;5 years to less than 10 years;55-64;8;Female
11764391;Complete;1 year to less than 3 years;45-54;10;Male
11764693;Incomplete;6 months to less than a year;25-34;;
11764708;Incomplete;1 year to less than 3 years;;;
11764827;Complete;1 year to less than 3 years;25-34;10;Female
11764956;Incomplete;1 year to less than 3 years;55-64;;
11765122;Complete;Less than 6 months;35-44;10;Female
11765465;Complete;5 years to less than 10 years;18-24;10;Female
11766266;Complete;3 years to less than 5 years;25-34;10;Female
11766556;Complete;3 years to less than 5 years;45-54;10;Male
11766813;Complete;Less than 6 months;45-54;9;Female
11767204;Complete;6 months to less than a year;18-24;10;Male
11767596;Complete;3 years to less than 5 years;25-34;10;Male
11767988;Complete;1 year to less than 3 years;25-34;10;Female
11768428;Complete;6 months to less than a year;45-54;10;Female
11768722;Incomplete;More than 15 years;25-34;;
11768925;Complete;5 years to less than 10 years;25-34;10;Female
11769150;Complete;3 years to less than 5 years;35-44;10;Female
11769399;Complete;5 years to less than 10 years;35-44;10;Female
11769577;Complete;1 year to less than 3 years;25-34;10;Female
11769641;Complete;Less than 6 months;18-24;10;Female
11769668;Complete;3 years to less than 5 years;25-34;9;Male
11769806;Complete;5 years to less than 10 years;55-64;10;Female
11769900;Complete;6 months to less than a year;35-44;10;Female
11769996;Complete;6 months to less than a year;55-64;10;Female
11770200;Complete;5 years to less than 10 years;35-44;10;Female
11770242;Complete;Less than 6 months;25-34;10;Female
11770273;Complete;5 years to less than 10 years;18-24;10;Male
11770370;Complete;10 years to less than 15 years;25-34;7;Male
11771190;Complete;10 years to less than 15 years;55-64;10;Male
11771292;Complete;Less than 6 months;55-64;10;Male
11771347;Complete;6 months to less than a year;35-44;9;Male
11771647;Incomplete;More than 15 years;18-24;;
11771798;Complete;Less than 6 months;65-74;10;Female
11771825;Complete;More than 15 years;45-54;10;Female
11771859;Complete;1 year to less than 3 years;35-44;10;Female
11771927;Complete;Less than 6 months;35-44;10;Female
11772185;Complete;5 years to less than 10 years;45-54;10;Female
11772340;Complete;3 years to less than 5 years;55-64;10;Female
11772466;Complete;Less than 6 months;35-44;10;Male
11772909;Complete;1 year to less than 3 years;35-44;9;Female
11773590;Complete;Less than 6 months;18-24;8;Female
11773783;Complete;Less than 6 months;25-34;8;Female
11773916;Complete;1 year to less than 3 years;35-44;5;Male
11773922;Complete;5 years to less than 10 years;35-44;10;Female
11774265;Complete;3 years to less than 5 years;55-64;10;Female
11774273;Complete;1 year to less than 3 years;45-54;10;Female
11774434;Complete;Less than 6 months;45-54;10;Female
11774897;Complete;10 years to less than 15 years;35-44;10;Female
11775059;Complete;1 year to less than 3 years;55-64;10;Female
11775147;Complete;3 years to less than 5 years;25-34;10;Female
11775438;Complete;6 months to less than a year;18-24;10;Female
11775854;Complete;1 year to less than 3 years;45-54;10;Male
11776035;Complete;1 year to less than 3 years;25-34;10;Female
11776586;Incomplete;3 years to less than 5 years;45-54;;
11776903;Complete;1 year to less than 3 years;35-44;10;Female
11777021;Complete;1 year to less than 3 years;18-24;7;Female
11777252;Incomplete;3 years to less than 5 years;45-54;;
11777295;Complete;5 years to less than 10 years;45-54;10;Female
11777622;Complete;3 years to less than 5 years;25-34;10;Male
11777800;Complete;Less than 6 months;18-24;10;Female
11778071;Complete;1 year to less than 3 years;18-24;10;Male
11778155;Complete;1 year to less than 3 years;35-44;10;Female
11778284;Complete;1 year to less than 3 years;45-54;10;Male
11779984;Complete;3 years to less than 5 years;18-24;10;Male
11784355;Complete;6 months to less than a year;55-64;9;Male
11786021;Complete;5 years to less than 10 years;55-64;10;Female
11791459;Complete;Less than 6 months;55-64;10;Female
11791654;Complete;1 year to less than 3 years;35-44;10;Female
11793052;Complete;5 years to less than 10 years;18-24;10;Male
11797717;Complete;1 year to less than 3 years;45-54;10;Female
11798743;Complete;3 years to less than 5 years;25-34;10;Female
11799165;Complete;More than 15 years;55-64;10;Female
11802604;Complete;1 year to less than 3 years;45-54;10;Female
11802708;Complete;5 years to less than 10 years;45-54;10;Female
11803668;Complete;Less than 6 months;45-54;10;Female
11804275;Complete;5 years to less than 10 years;18-24;10;Female
11805449;Complete;10 years to less than 15 years;25-34;10;Female
11805647;Complete;3 years to less than 5 years;45-54;10;Male
11805675;Incomplete;Less than 6 months;;;
11806079;Complete;3 years to less than 5 years;18-24;10;Female
11806642;Complete;5 years to less than 10 years;18-24;10;Male
11807441;Incomplete;5 years to less than 10 years;18-24;10;Female
11807564;Complete;5 years to less than 10 years;55-64;10;Female
11807849;Complete;3 years to less than 5 years;18-24;10;Female
11807892;Complete;1 year to less than 3 years;18-24;10;Female
11808298;Complete;3 years to less than 5 years;45-54;10;Male
11808808;Complete;Less than 6 months;55-64;8;Male
11810027;Complete;Less than 6 months;18-24;10;Female
11810609;Complete;More than 15 years;35-44;10;Female
11815063;Complete;1 year to less than 3 years;45-54;10;Female
11816390;Incomplete;Less than 6 months;45-54;;
11816630;Complete;1 year to less than 3 years;45-54;10;Female
11817550;Complete;1 year to less than 3 years;18-24;9;Male
11817643;Complete;1 year to less than 3 years;25-34;10;Male
11817860;Complete;1 year to less than 3 years;18-24;10;Male
11818425;Incomplete;1 year to less than 3 years;18-24;;
11820677;Complete;1 year to less than 3 years;25-34;10;Female
11820938;Complete;1 year to less than 3 years;45-54;10;Male
11822311;Complete;6 months to less than a year;35-44;10;Female
11823096;Incomplete;1 year to less than 3 years;55-64;;
11823333;Complete;10 years to less than 15 years;18-24;10;Male
11825027;Complete;1 year to less than 3 years;45-54;10;Female
11825774;Complete;Less than 6 months;35-44;8;Male
11827047;Complete;Less than 6 months;25-34;10;Female
11828255;Incomplete;Less than 6 months;35-44;;
11828959;Complete;6 months to less than a year;35-44;10;Female
11829429;Incomplete;6 months to less than a year;35-44;;
11830363;Complete;3 years to less than 5 years;55-64;10;Female
11830862;Complete;1 year to less than 3 years;35-44;10;Male
11831653;Complete;1 year to less than 3 years;25-34;9;Female
11838334;Complete;Less than 6 months;25-34;5;Female
11845836;Complete;3 years to less than 5 years;45-54;10;Female
11851206;Complete;Less than 6 months;55-64;10;Female
11858685;Complete;Less than 6 months;35-44;9;Female
11860034;Incomplete;3 years to less than 5 years;18-24;;
11860404;Complete;5 years to less than 10 years;55-64;10;Female
11861031;Complete;3 years to less than 5 years;45-54;10;Female
11865049;Complete;1 year to less than 3 years;65-74;;Male
11866379;Complete;3 years to less than 5 years;55-64;10;Female
11867667;Incomplete;1 year to less than 3 years;55-64;;
11869346;Complete;3 years to less than 5 years;25-34;10;Male
11869405;Complete;1 year to less than 3 years;45-54;10;Female
11869925;Complete;1 year to less than 3 years;18-24;10;Female
11874675;Complete;Less than 6 months;35-44;8;Female
11874821;Complete;5 years to less than 10 years;55-64;5;Female
11875635;Complete;Less than 6 months;45-54;10;Female
11877123;Complete;1 year to less than 3 years;35-44;10;Female
11877497;Complete;More than 15 years;18-24;10;Male
11878635;Complete;1 year to less than 3 years;18-24;10;Female
11883130;Complete;1 year to less than 3 years;25-34;10;Female
11883820;Complete;Less than 6 months;55-64;7;Female
11885708;Complete;1 year to less than 3 years;45-54;10;Male
11886420;Complete;More than 15 years;55-64;10;Female
11886483;Complete;10 years to less than 15 years;25-34;10;Female
11887392;Complete;1 year to less than 3 years;45-54;10;Female
11908743;Complete;6 months to less than a year;45-54;10;Female
11910335;Complete;5 years to less than 10 years;35-44;10;Male
11913969;Complete;Less than 6 months;45-54;10;Female
11915289;Complete;1 year to less than 3 years;35-44;10;Female
11916485;Complete;6 months to less than a year;25-34;10;Female
11917581;Complete;Less than 6 months;35-44;10;Male
11920790;Complete;1 year to less than 3 years;18-24;10;Female
11920890;Complete;1 year to less than 3 years;45-54;9;Female
11929293;Complete;6 months to less than a year;35-44;10;Male
11933811;Complete;1 year to less than 3 years;25-34;10;Female
11936782;Complete;10 years to less than 15 years;35-44;10;Male
11936802;Complete;1 year to less than 3 years;18-24;8;Female
11936853;Complete;1 year to less than 3 years;25-34;10;Female
11936914;Complete;6 months to less than a year;18-24;10;Female
11936925;Complete;10 years to less than 15 years;18-24;8;Male
11936972;Complete;More than 15 years;35-44;8;Male
11936975;Complete;1 year to less than 3 years;35-44;10;Female
11937111;Incomplete;10 years to less than 15 years;25-34;;
11937141;Complete;1 year to less than 3 years;18-24;10;Male
11937169;Complete;1 year to less than 3 years;45-54;10;Female
11937213;Complete;1 year to less than 3 years;18-24;10;Female
11937225;Complete;3 years to less than 5 years;25-34;10;Female
11937232;Complete;1 year to less than 3 years;25-34;10;Female
11937235;Complete;5 years to less than 10 years;25-34;10;Female
11937305;Complete;1 year to less than 3 years;18-24;10;Male
11937312;Complete;1 year to less than 3 years;18-24;6;Female
11937344;Complete;5 years to less than 10 years;25-34;10;Female
11937346;Complete;1 year to less than 3 years;25-34;10;Female
11937405;Complete;5 years to less than 10 years;55-64;10;Female
11937436;Complete;1 year to less than 3 years;25-34;10;Female
11937501;Complete;3 years to less than 5 years;35-44;10;Female
11937582;Complete;5 years to less than 10 years;35-44;10;Male
11937644;Complete;3 years to less than 5 years;25-34;10;Female
11937708;Complete;Less than 6 months;45-54;10;Female
11937955;Complete;1 year to less than 3 years;25-34;10;Male
11937968;Complete;6 months to less than a year;25-34;10;Female
11938084;Complete;1 year to less than 3 years;25-34;10;Male
11938115;Complete;3 years to less than 5 years;25-34;10;Female
11938997;Complete;6 months to less than a year;45-54;10;Female
11939495;Incomplete;5 years to less than 10 years;55-64;;
11939814;Incomplete;5 years to less than 10 years;35-44;;
11939897;Complete;10 years to less than 15 years;45-54;10;Female
11939932;Incomplete;More than 15 years;35-44;;
11940151;Complete;6 months to less than a year;35-44;10;Female
11940555;Incomplete;3 years to less than 5 years;25-34;10;Female
11940590;Complete;3 years to less than 5 years;35-44;10;Female
11940650;Complete;6 months to less than a year;35-44;10;Female
11940784;Complete;6 months to less than a year;55-64;10;Female
11941338;Complete;Less than 6 months;35-44;10;Female
11941851;Complete;6 months to less than a year;55-64;10;Female
11942094;Complete;6 months to less than a year;55-64;8;Male
11942130;Complete;More than 15 years;55-64;10;Male
11942488;Incomplete;10 years to less than 15 years;45-54;10;Male
11942906;Complete;5 years to less than 10 years;45-54;10;Female
11942957;Complete;1 year to less than 3 years;25-34;10;Female
11942995;Complete;1 year to less than 3 years;35-44;8;Female
11943286;Complete;3 years to less than 5 years;45-54;10;Female
11943357;Complete;1 year to less than 3 years;18-24;9;Male
11943693;Complete;3 years to less than 5 years;35-44;10;Female
11944239;Complete;3 years to less than 5 years;18-24;10;Female
11944387;Complete;1 year to less than 3 years;35-44;10;Male
11944682;Incomplete;1 year to less than 3 years;25-34;10;Female
11945153;Complete;6 months to less than a year;25-34;10;Female
11945262;Terminated;3 years to less than 5 years;Under 18;;
11945269;Complete;6 months to less than a year;18-24;10;Male
11945301;Incomplete;3 years to less than 5 years;35-44;6;Female
11945372;Complete;Less than 6 months;18-24;10;Female
11945403;Complete;1 year to less than 3 years;18-24;10;Female
11945422;Complete;1 year to less than 3 years;25-34;10;Female
11945562;Complete;5 years to less than 10 years;55-64;10;Female
11945665;Incomplete;Less than 6 months;18-24;;
11945679;Complete;6 months to less than a year;35-44;10;Female
11945800;Complete;1 year to less than 3 years;45-54;9;Female
11946429;Terminated;Less than 6 months;Under 18;;
11946731;Incomplete;5 years to less than 10 years;35-44;;
11946747;Complete;1 year to less than 3 years;25-34;10;Male
11947215;Complete;1 year to less than 3 years;35-44;9;Female
11947346;Complete;1 year to less than 3 years;35-44;10;Male
11947562;Complete;3 years to less than 5 years;35-44;10;Female
11947825;Complete;3 years to less than 5 years;18-24;8;Female
11947845;Complete;1 year to less than 3 years;45-54;10;Female
11948116;Complete;5 years to less than 10 years;45-54;10;Male
11949321;Complete;1 year to less than 3 years;45-54;10;Female
11949538;Complete;5 years to less than 10 years;45-54;9;Female
11950773;Complete;1 year to less than 3 years;35-44;10;Male
11951207;Complete;5 years to less than 10 years;45-54;10;Male
11953275;Incomplete;3 years to less than 5 years;;;
11955956;Complete;3 years to less than 5 years;35-44;10;Female
11960805;Complete;Less than 6 months;18-24;9;Female
11960899;Incomplete;Less than 6 months;45-54;;
11961017;Complete;1 year to less than 3 years;35-44;10;Male
11961085;Complete;1 year to less than 3 years;45-54;10;Male
11961280;Complete;Less than 6 months;18-24;9;Male
11961340;Complete;10 years to less than 15 years;45-54;10;Male
11961393;Complete;5 years to less than 10 years;45-54;10;Female
11961519;Complete;10 years to less than 15 years;55-64;9;Male
11961851;Incomplete;5 years to less than 10 years;45-54;;
11962123;Complete;3 years to less than 5 years;25-34;10;Female
11962218;Complete;5 years to less than 10 years;55-64;10;Female
11962364;Complete;1 year to less than 3 years;35-44;10;Female
