id,risco_credito,idade,renda_anual,sexo,estado_civil,qtd_filhos,qtd_cartoes_credito,forma_pagamento,paga_hipoteca,outros_emprestimos
56,alto_risco,44,51498,masculino,casado,0,1,NA,sim,1
57,baixo_risco,45,51385,NA,NA,0,NA,mensal,NA,0
58,medio_risco,NA,51383,feminino,casado,0,2,NA,sim,1
59,baixo_risco,37,50833,masculino,casado,1,1,mensal,NA,1
60,medio_risco,44,50816,masculino,casado,0,2,mensal,sim,NA
61,medio_risco,40,50621,feminino,casado,1,2,mensal,sim,0
62,baixo_risco,45,50552,masculino,casado,0,1,mensal,sim,0
63,baixo_risco,36,50515,feminino,casado,0,1,mensal,NA,1
64,medio_risco,36,50302,masculino,casado,1,2,mensal,sim,0
65,medio_risco,31,50295,NA,casado,1,1,mensal,sim,NA
66,medio_risco,40,50199,feminino,casado,NA,1,mensal,sim,0
67,medio_risco,37,50075,masculino,casado,0,2,mensal,sim,0
68,baixo_risco,35,NA,masculino,casado,1,2,mensal,sim,NA
69,baixo_risco,39,49415,masculino,casado,0,1,mensal,sim,0
70,baixo_risco,NA,49409,masculino,casado,1,2,mensal,sim,NA
71,medio_risco,39,49407,masculino,casado,1,2,mensal,sim,0
72,medio_risco,33,49075,masculino,casado,1,2,mensal,NA,0
73,baixo_risco,33,49008,feminino,casado,1,2,mensal,sim,0
74,medio_risco,NA,48599,masculino,casado,0,1,NA,sim,1
75,baixo_risco,33,48511,masculino,NA,0,1,mensal,sim,0
76,alto_risco,NA,48336,masculino,casado,1,2,mensal,sim,0
77,baixo_risco,37,48061,feminino,casado,1,2,mensal,sim,0
78,alto_risco,43,47623,feminino,casado,0,2,mensal,NA,1
79,baixo_risco,34,47623,NA,casado,0,1,mensal,sim,1
80,alto_risco,36,47422,feminino,casado,0,2,mensal,sim,1
81,baixo_risco,29,47111,masculino,NA,0,2,mensal,sim,1
82,medio_risco,44,47035,masculino,casado,0,1,mensal,sim,0
83,baixo_risco,35,47026,masculino,casado,1,2,mensal,sim,NA
84,baixo_risco,39,47019,masculino,casado,0,1,mensal,sim,1
85,baixo_risco,42,46965,feminino,casado,1,1,mensal,sim,1
86,medio_risco,36,46785,feminino,casado,1,1,mensal,sim,1
87,alto_risco,35,46645,masculino,casado,1,1,mensal,sim,0
88,baixo_risco,NA,46119,NA,casado,1,1,mensal,sim,0
89,alto_risco,40,45993,feminino,casado,1,2,mensal,sim,0
90,medio_risco,36,NA,feminino,casado,1,1,mensal,sim,NA
91,baixo_risco,39,45904,NA,casado,1,1,mensal,sim,0
92,baixo_risco,35,45869,feminino,casado,0,2,mensal,sim,1
93,alto_risco,37,45849,masculino,casado,1,2,mensal,sim,1
94,alto_risco,39,45841,feminino,casado,1,NA,mensal,sim,0
95,alto_risco,32,45813,NA,casado,1,1,mensal,sim,0
96,medio_risco,38,45721,masculino,casado,0,1,NA,sim,1
97,medio_risco,32,45712,feminino,casado,1,2,mensal,sim,0
98,baixo_risco,NA,45706,NA,casado,0,2,mensal,sim,1
99,baixo_risco,36,45659,feminino,casado,0,1,mensal,sim,1
100,baixo_risco,42,45584,feminino,casado,1,1,mensal,sim,0
101,baixo_risco,29,45549,masculino,casado,1,1,mensal,sim,0
102,baixo_risco,39,45537,masculino,casado,0,2,NA,sim,1
103,medio_risco,35,45518,feminino,casado,1,1,mensal,sim,1
104,baixo_risco,NA,45463,masculino,NA,0,NA,mensal,sim,1
105,baixo_risco,44,45452,feminino,casado,NA,1,mensal,NA,1
106,alto_risco,37,45450,feminino,casado,0,1,mensal,sim,0
107,alto_risco,38,45419,feminino,casado,0,2,mensal,sim,NA
108,medio_risco,43,45318,masculino,casado,1,1,NA,sim,1
109,medio_risco,44,45313,feminino,casado,0,2,mensal,sim,1
110,medio_risco,41,NA,feminino,casado,1,1,mensal,sim,1
111,medio_risco,39,45266,feminino,casado,0,1,mensal,sim,0
112,alto_risco,39,45246,feminino,casado,0,1,mensal,sim,NA
113,alto_risco,43,45240,masculino,casado,0,2,mensal,sim,1
114,baixo_risco,32,45217,masculino,casado,0,1,mensal,sim,0
115,baixo_risco,32,45209,NA,casado,1,2,mensal,NA,0
116,alto_risco,44,NA,masculino,casado,1,2,mensal,sim,1
117,medio_risco,37,45159,feminino,casado,1,NA,mensal,sim,0
118,baixo_risco,35,45066,masculino,casado,NA,1,mensal,sim,NA
119,medio_risco,44,45001,feminino,casado,0,1,mensal,sim,1
120,medio_risco,30,44974,masculino,casado,1,2,mensal,NA,0
121,alto_risco,30,44956,feminino,casado,0,2,mensal,sim,1
122,medio_risco,37,44936,feminino,casado,1,1,mensal,sim,NA
123,baixo_risco,42,NA,masculino,casado,1,1,mensal,sim,0
124,alto_risco,32,44895,feminino,casado,1,2,mensal,sim,1
125,baixo_risco,NA,44892,masculino,casado,1,2,mensal,sim,0
126,baixo_risco,44,44787,masculino,casado,1,2,mensal,sim,NA
127,baixo_risco,32,44781,masculino,casado,NA,1,mensal,sim,0
128,alto_risco,35,44772,masculino,NA,1,1,mensal,sim,0
129,medio_risco,42,44728,NA,casado,0,2,mensal,NA,0
130,baixo_risco,40,NA,feminino,casado,NA,1,mensal,sim,0
131,baixo_risco,43,44682,feminino,casado,0,1,mensal,sim,1
132,alto_risco,42,44597,feminino,casado,1,2,mensal,sim,0
133,medio_risco,33,44582,NA,casado,NA,1,mensal,sim,1
134,baixo_risco,41,44534,masculino,casado,0,2,mensal,sim,0
135,medio_risco,31,44483,NA,casado,0,2,mensal,sim,0
136,baixo_risco,38,44460,masculino,casado,0,1,mensal,sim,1
137,medio_risco,34,44442,NA,casado,1,1,mensal,sim,0
138,baixo_risco,37,44394,NA,casado,1,NA,mensal,sim,0
139,medio_risco,44,44306,feminino,casado,0,2,mensal,sim,1
140,baixo_risco,27,44298,feminino,casado,0,2,NA,sim,0
141,baixo_risco,45,NA,masculino,NA,0,1,mensal,NA,1
142,medio_risco,32,44230,feminino,casado,1,2,mensal,sim,0
143,baixo_risco,35,44202,feminino,casado,0,2,mensal,sim,0
144,baixo_risco,35,44194,masculino,casado,0,2,mensal,NA,1
145,alto_risco,NA,44159,masculino,casado,1,1,NA,sim,0
146,baixo_risco,37,44095,feminino,casado,0,1,mensal,sim,0
147,medio_risco,45,44072,masculino,casado,1,1,mensal,sim,0
148,baixo_risco,33,44052,feminino,casado,0,2,mensal,sim,0
149,baixo_risco,36,44048,masculino,casado,1,NA,mensal,sim,0
150,baixo_risco,41,44039,feminino,casado,1,2,mensal,sim,1
151,medio_risco,NA,44005,masculino,casado,1,2,mensal,sim,1
152,baixo_risco,37,43982,masculino,casado,NA,2,mensal,sim,0
153,baixo_risco,42,43977,masculino,casado,0,1,mensal,sim,1
154,medio_risco,31,43972,feminino,NA,0,1,mensal,sim,1
155,alto_risco,32,43908,feminino,casado,0,1,mensal,sim,0
156,alto_risco,34,43895,feminino,casado,0,1,mensal,sim,1
157,medio_risco,NA,43890,feminino,casado,0,2,mensal,sim,1
158,alto_risco,35,43888,masculino,casado,NA,1,mensal,sim,1
159,medio_risco,NA,43876,feminino,casado,1,2,mensal,sim,1
160,medio_risco,37,43835,masculino,casado,0,2,mensal,sim,1
161,baixo_risco,35,NA,masculino,casado,1,NA,mensal,sim,0
162,medio_risco,31,43795,masculino,NA,0,2,mensal,sim,0
163,baixo_risco,36,43750,masculino,casado,1,1,mensal,sim,NA
164,medio_risco,NA,43677,feminino,casado,0,1,mensal,sim,0
165,baixo_risco,43,43669,masculino,casado,1,1,mensal,sim,0
166,baixo_risco,42,43651,feminino,casado,1,2,mensal,sim,1
167,baixo_risco,31,43650,masculino,casado,0,1,mensal,sim,0
168,baixo_risco,41,43648,feminino,casado,1,1,mensal,sim,1
169,medio_risco,37,43633,feminino,casado,1,1,mensal,NA,NA
170,medio_risco,29,43608,masculino,casado,1,1,mensal,sim,0
171,baixo_risco,39,43514,feminino,casado,NA,2,mensal,sim,0
172,medio_risco,34,43482,masculino,casado,1,NA,mensal,sim,1
173,baixo_risco,33,43474,masculino,casado,0,1,mensal,sim,1
174,alto_risco,NA,43408,NA,casado,NA,2,mensal,sim,0
175,medio_risco,43,43348,masculino,casado,1,2,mensal,sim,NA
176,medio_risco,33,43322,feminino,casado,0,NA,mensal,NA,1
177,baixo_risco,44,43185,feminino,casado,1,1,mensal,sim,0
178,baixo_risco,NA,43185,feminino,casado,0,2,mensal,sim,NA
179,medio_risco,43,NA,feminino,NA,1,1,mensal,NA,1
180,medio_risco,41,43120,masculino,casado,0,1,mensal,sim,1
181,alto_risco,31,43043,feminino,casado,NA,1,mensal,sim,1
182,baixo_risco,36,42980,feminino,casado,0,1,mensal,sim,0
183,baixo_risco,38,42953,masculino,casado,NA,2,mensal,NA,0
184,medio_risco,34,42928,masculino,casado,1,1,mensal,sim,1
185,baixo_risco,30,42926,masculino,casado,0,1,mensal,sim,0
186,medio_risco,42,42909,NA,casado,NA,1,mensal,sim,0
187,baixo_risco,41,NA,masculino,casado,1,1,mensal,sim,0
188,alto_risco,30,42899,masculino,casado,1,1,mensal,sim,1
189,medio_risco,40,42844,feminino,casado,1,2,mensal,sim,NA
190,alto_risco,34,42828,feminino,casado,1,1,NA,sim,0
191,medio_risco,NA,42823,feminino,casado,1,1,mensal,sim,1
192,alto_risco,37,42799,feminino,casado,NA,1,mensal,sim,0
193,medio_risco,35,42719,masculino,casado,0,1,NA,NA,1
194,medio_risco,43,42715,NA,casado,0,1,NA,sim,0
195,baixo_risco,39,42652,masculino,casado,0,1,mensal,sim,1
196,medio_risco,30,42647,feminino,casado,0,2,mensal,sim,0
197,baixo_risco,36,42522,masculino,casado,0,NA,mensal,sim,0
198,medio_risco,41,42519,masculino,NA,1,1,mensal,sim,1
199,baixo_risco,31,42471,feminino,casado,1,2,mensal,sim,1
200,baixo_risco,45,42464,masculino,NA,NA,2,mensal,sim,1
201,baixo_risco,41,42443,feminino,casado,NA,NA,mensal,sim,1
202,alto_risco,44,42440,masculino,casado,1,1,mensal,sim,0
203,baixo_risco,32,42438,masculino,casado,0,1,NA,NA,0
204,alto_risco,29,42429,masculino,casado,1,2,mensal,sim,1
205,baixo_risco,32,42389,masculino,NA,0,1,mensal,sim,0
206,baixo_risco,38,42386,masculino,casado,1,1,mensal,sim,0
207,baixo_risco,36,42356,feminino,casado,0,2,mensal,sim,0
208,baixo_risco,45,42334,feminino,casado,0,1,mensal,NA,NA
209,medio_risco,41,42309,masculino,NA,0,1,mensal,sim,1
210,baixo_risco,42,42231,masculino,casado,1,2,mensal,sim,1
211,alto_risco,31,NA,feminino,casado,0,2,mensal,sim,1
212,baixo_risco,34,NA,masculino,casado,1,1,mensal,sim,0
213,baixo_risco,33,42192,feminino,casado,1,2,NA,sim,0
214,baixo_risco,36,42175,masculino,casado,0,1,mensal,sim,1
215,baixo_risco,31,42175,masculino,casado,1,1,mensal,sim,1
216,baixo_risco,NA,42169,feminino,NA,0,2,mensal,sim,1
217,alto_risco,40,42143,masculino,casado,0,NA,mensal,sim,0
218,baixo_risco,NA,42119,masculino,casado,NA,1,mensal,sim,1
219,baixo_risco,38,42110,NA,casado,1,2,mensal,sim,0
220,baixo_risco,NA,42096,masculino,casado,1,1,mensal,sim,0
221,baixo_risco,36,42091,feminino,casado,0,1,mensal,sim,0
222,baixo_risco,44,42078,masculino,casado,0,NA,NA,sim,1
223,medio_risco,30,42053,feminino,NA,0,2,mensal,NA,1
224,alto_risco,30,41965,feminino,casado,1,1,mensal,NA,0
225,baixo_risco,41,41964,feminino,casado,0,2,mensal,sim,1
226,medio_risco,45,NA,feminino,casado,0,2,NA,sim,1
227,baixo_risco,32,41879,masculino,casado,0,1,mensal,sim,0
228,medio_risco,41,41774,feminino,casado,NA,1,mensal,sim,0
229,medio_risco,38,41769,masculino,NA,0,2,mensal,sim,1
230,baixo_risco,44,NA,feminino,casado,0,1,mensal,sim,0
231,medio_risco,26,41696,feminino,casado,1,1,mensal,sim,0
232,alto_risco,45,41676,feminino,casado,1,2,mensal,sim,NA
233,baixo_risco,35,41676,feminino,casado,1,2,mensal,sim,0
234,baixo_risco,33,41631,feminino,casado,1,1,mensal,sim,1
235,baixo_risco,34,41629,masculino,casado,1,2,mensal,sim,NA
236,baixo_risco,30,41624,masculino,NA,0,2,NA,sim,1
237,baixo_risco,34,NA,feminino,NA,1,2,mensal,sim,NA
238,medio_risco,36,41530,masculino,casado,1,1,mensal,sim,NA
239,medio_risco,38,41506,feminino,casado,0,1,mensal,sim,0
240,baixo_risco,NA,41489,masculino,casado,1,1,mensal,sim,1
241,medio_risco,37,41432,masculino,casado,1,1,mensal,sim,1
242,alto_risco,31,41421,feminino,casado,0,2,mensal,sim,1
243,baixo_risco,31,41315,feminino,NA,0,1,mensal,sim,0
244,baixo_risco,NA,41300,feminino,casado,0,2,mensal,sim,0
245,alto_risco,35,41248,masculino,casado,1,2,mensal,sim,1
246,baixo_risco,40,41205,feminino,casado,0,2,mensal,sim,1
247,baixo_risco,31,41169,NA,casado,1,2,mensal,sim,1
248,alto_risco,41,41168,masculino,casado,1,2,mensal,sim,1
249,medio_risco,44,41162,NA,casado,0,2,mensal,NA,1
250,baixo_risco,34,41159,masculino,casado,NA,2,mensal,NA,0
251,medio_risco,38,41158,feminino,casado,1,2,mensal,sim,0
252,baixo_risco,35,41132,feminino,casado,NA,2,mensal,sim,1
253,baixo_risco,41,41095,feminino,casado,0,1,mensal,sim,0
254,baixo_risco,NA,41048,masculino,casado,0,1,NA,sim,1
255,baixo_risco,35,40992,masculino,casado,1,2,mensal,sim,0
256,alto_risco,NA,NA,masculino,casado,1,NA,mensal,sim,NA
257,baixo_risco,NA,40971,feminino,casado,0,1,mensal,sim,1
258,baixo_risco,39,40964,masculino,casado,1,1,mensal,sim,NA
259,baixo_risco,NA,40949,feminino,casado,0,NA,mensal,sim,1
260,alto_risco,42,40940,NA,NA,1,2,mensal,sim,1
261,baixo_risco,33,40940,masculino,NA,1,NA,mensal,sim,1
262,baixo_risco,40,40912,masculino,casado,NA,1,mensal,sim,0
263,baixo_risco,35,40909,feminino,casado,NA,1,mensal,sim,0
264,baixo_risco,27,40906,masculino,casado,1,2,mensal,sim,0
265,baixo_risco,36,40866,masculino,casado,1,2,mensal,sim,1
266,alto_risco,39,40693,masculino,casado,0,2,mensal,sim,0
267,baixo_risco,32,40636,feminino,casado,1,1,mensal,sim,1
268,alto_risco,44,40626,feminino,casado,1,2,mensal,sim,1
269,baixo_risco,45,NA,masculino,casado,1,1,mensal,sim,0
270,alto_risco,NA,40543,feminino,casado,NA,1,mensal,sim,0
271,baixo_risco,35,NA,masculino,casado,1,1,mensal,sim,NA
272,medio_risco,NA,40493,masculino,casado,1,1,mensal,sim,1
273,baixo_risco,45,40473,feminino,casado,1,1,mensal,sim,1
274,alto_risco,44,40425,masculino,casado,0,1,mensal,sim,1
275,baixo_risco,37,40398,masculino,casado,0,2,mensal,sim,1
276,alto_risco,44,40390,masculino,casado,NA,1,mensal,sim,1
277,medio_risco,38,40328,feminino,casado,0,1,mensal,sim,1
278,baixo_risco,36,40326,feminino,casado,NA,2,mensal,sim,1
279,alto_risco,41,NA,NA,casado,0,1,mensal,sim,1
280,baixo_risco,NA,40182,masculino,casado,1,1,mensal,sim,1
281,baixo_risco,38,40171,feminino,casado,0,2,mensal,sim,0
282,baixo_risco,41,40100,feminino,NA,NA,1,mensal,sim,0
283,alto_risco,38,39925,masculino,solteiro,0,1,mensal,sim,0
284,baixo_risco,33,39859,feminino,casado,0,NA,mensal,sim,1
285,alto_risco,31,39696,masculino,casado,0,1,mensal,sim,0
286,baixo_risco,33,39676,masculino,solteiro,0,0,mensal,sim,0
287,medio_risco,39,39589,feminino,NA,0,1,mensal,sim,NA
288,baixo_risco,32,NA,feminino,casado,1,1,mensal,sim,1
289,baixo_risco,28,NA,feminino,solteiro,0,0,mensal,sim,NA
290,baixo_risco,28,39121,feminino,solteiro,0,0,mensal,sim,0
291,alto_risco,NA,39028,feminino,solteiro,0,0,mensal,sim,0
292,medio_risco,33,39024,feminino,solteiro,0,0,mensal,sim,0
293,baixo_risco,33,38677,masculino,solteiro,0,0,mensal,sim,0
294,baixo_risco,NA,38537,feminino,casado,1,1,mensal,sim,0
295,baixo_risco,45,37895,feminino,solteiro,0,1,mensal,sim,0
296,alto_risco,34,NA,masculino,solteiro,0,1,mensal,sim,0
297,alto_risco,37,37810,feminino,casado,1,2,mensal,sim,0
298,baixo_risco,36,37613,feminino,solteiro,0,0,mensal,sim,0
299,baixo_risco,29,37282,masculino,solteiro,0,0,mensal,NA,0
300,medio_risco,NA,NA,masculino,solteiro,0,0,mensal,sim,NA
301,alto_risco,34,37062,feminino,solteiro,0,1,mensal,sim,0
302,alto_risco,28,36893,masculino,solteiro,0,NA,mensal,sim,0
303,baixo_risco,41,36873,feminino,solteiro,0,1,mensal,sim,0
304,baixo_risco,27,36852,feminino,casado,NA,2,mensal,sim,NA
305,medio_risco,36,36623,feminino,casado,0,2,mensal,sim,1
306,baixo_risco,37,36487,masculino,solteiro,0,1,mensal,sim,0
307,alto_risco,30,36356,feminino,solteiro,0,1,mensal,sim,0
308,baixo_risco,45,36276,feminino,solteiro,0,1,mensal,NA,0
309,baixo_risco,43,36255,masculino,casado,0,2,mensal,sim,1
310,baixo_risco,32,36167,masculino,solteiro,0,0,mensal,sim,0
311,alto_risco,44,36163,NA,solteiro,0,1,mensal,sim,0
312,alto_risco,NA,36154,feminino,solteiro,0,NA,NA,sim,0
313,baixo_risco,NA,35875,feminino,solteiro,0,1,NA,sim,0
314,medio_risco,33,35731,NA,solteiro,0,NA,mensal,sim,0
315,medio_risco,27,35505,feminino,solteiro,0,1,mensal,sim,0
316,baixo_risco,42,35407,feminino,solteiro,0,1,mensal,sim,0
317,baixo_risco,38,NA,feminino,solteiro,0,0,mensal,sim,0
318,baixo_risco,NA,35172,masculino,solteiro,0,1,mensal,sim,0
319,baixo_risco,41,35117,masculino,solteiro,0,1,mensal,sim,0
320,alto_risco,40,34995,feminino,solteiro,0,0,mensal,sim,NA
321,baixo_risco,40,NA,NA,solteiro,0,0,mensal,sim,0
322,baixo_risco,30,34328,feminino,solteiro,0,0,mensal,sim,NA
323,baixo_risco,44,34288,masculino,solteiro,NA,1,mensal,sim,0
324,alto_risco,NA,34288,masculino,casado,0,1,mensal,sim,0
325,alto_risco,39,34252,feminino,solteiro,0,1,mensal,sim,0
326,medio_risco,38,34115,masculino,NA,NA,1,mensal,sim,0
327,alto_risco,29,33987,feminino,NA,0,0,mensal,sim,0
328,medio_risco,37,33953,masculino,solteiro,0,1,mensal,sim,0
329,alto_risco,39,33911,masculino,solteiro,0,0,NA,sim,0
330,alto_risco,39,33815,feminino,solteiro,0,0,mensal,sim,NA
331,baixo_risco,35,33808,feminino,solteiro,NA,0,mensal,sim,0
332,alto_risco,34,33796,feminino,solteiro,0,0,mensal,sim,0
333,alto_risco,31,33747,feminino,solteiro,0,0,mensal,sim,0
334,baixo_risco,33,33683,masculino,casado,1,1,mensal,sim,1
335,baixo_risco,28,33658,masculino,solteiro,0,0,mensal,NA,0
336,alto_risco,37,33635,feminino,solteiro,0,1,mensal,sim,0
337,alto_risco,36,33509,NA,solteiro,0,0,mensal,sim,0
338,alto_risco,29,33503,feminino,solteiro,0,1,mensal,sim,NA
339,baixo_risco,45,33502,feminino,NA,NA,2,NA,sim,NA
340,baixo_risco,28,33489,masculino,solteiro,0,1,mensal,sim,0
341,baixo_risco,37,33471,feminino,solteiro,NA,1,mensal,sim,0
342,baixo_risco,39,33299,NA,solteiro,0,1,mensal,sim,0
343,baixo_risco,39,NA,masculino,solteiro,0,1,mensal,NA,0
344,baixo_risco,28,33220,masculino,solteiro,0,NA,mensal,sim,0
345,baixo_risco,30,NA,feminino,solteiro,NA,1,mensal,sim,0
346,medio_risco,39,33011,masculino,solteiro,0,0,mensal,sim,0
347,baixo_risco,35,32977,masculino,casado,0,2,mensal,sim,1
348,medio_risco,32,32916,masculino,solteiro,0,0,mensal,sim,NA
349,medio_risco,26,32851,feminino,solteiro,0,0,mensal,sim,0
350,medio_risco,40,32820,feminino,solteiro,0,0,mensal,sim,0
351,medio_risco,25,32662,masculino,solteiro,0,NA,mensal,sim,0
352,medio_risco,26,32644,feminino,solteiro,0,1,mensal,sim,0
353,alto_risco,41,32643,feminino,solteiro,NA,0,NA,sim,0
354,baixo_risco,37,32640,feminino,solteiro,0,0,mensal,sim,0
355,baixo_risco,36,32620,masculino,solteiro,0,1,mensal,sim,0
356,alto_risco,40,32543,feminino,solteiro,NA,0,mensal,sim,NA
357,alto_risco,29,32539,masculino,NA,0,0,mensal,sim,NA
358,medio_risco,36,32512,feminino,solteiro,0,0,mensal,NA,0
359,baixo_risco,37,NA,feminino,solteiro,0,0,mensal,sim,0
360,baixo_risco,25,32461,masculino,solteiro,0,0,mensal,sim,0
361,baixo_risco,36,32033,feminino,casado,1,2,mensal,sim,1
362,baixo_risco,32,31986,feminino,solteiro,NA,0,mensal,sim,0
363,baixo_risco,32,31985,masculino,solteiro,0,1,mensal,sim,0
364,baixo_risco,34,31928,feminino,solteiro,0,0,mensal,sim,0
365,alto_risco,26,31911,masculino,solteiro,0,0,mensal,sim,0
366,baixo_risco,42,31891,feminino,casado,0,2,NA,NA,0
367,alto_risco,NA,31891,feminino,NA,NA,1,mensal,sim,NA
368,baixo_risco,33,31868,masculino,solteiro,0,0,mensal,sim,0
369,baixo_risco,31,31853,feminino,solteiro,0,1,mensal,sim,0
370,medio_risco,37,31818,masculino,solteiro,0,0,mensal,sim,0
371,baixo_risco,NA,31804,NA,solteiro,0,0,mensal,sim,0
372,medio_risco,37,31798,feminino,solteiro,0,1,mensal,NA,NA
373,baixo_risco,39,31771,masculino,solteiro,0,0,NA,sim,0
374,baixo_risco,30,31689,NA,solteiro,0,0,NA,sim,NA
375,baixo_risco,43,31586,masculino,solteiro,0,0,mensal,sim,0
376,baixo_risco,34,31567,feminino,solteiro,0,1,mensal,sim,0
377,baixo_risco,38,31523,feminino,solteiro,0,NA,mensal,sim,0
378,baixo_risco,33,31453,masculino,casado,1,2,mensal,sim,0
379,medio_risco,34,31391,feminino,NA,0,0,mensal,sim,NA
380,baixo_risco,28,NA,NA,solteiro,0,1,mensal,sim,0
381,medio_risco,32,31295,feminino,solteiro,0,1,mensal,sim,NA
382,medio_risco,28,31292,NA,solteiro,NA,1,mensal,sim,0
383,medio_risco,35,31251,feminino,casado,1,2,mensal,NA,0
384,baixo_risco,40,31242,feminino,solteiro,NA,1,mensal,sim,0
385,baixo_risco,45,31237,masculino,solteiro,0,0,NA,sim,0
386,alto_risco,41,31169,masculino,solteiro,0,0,mensal,sim,NA
387,alto_risco,38,NA,masculino,solteiro,0,0,mensal,NA,0
388,baixo_risco,32,31096,feminino,solteiro,0,1,NA,sim,0
389,baixo_risco,45,31021,masculino,solteiro,NA,0,mensal,sim,NA
390,baixo_risco,30,30884,NA,solteiro,0,1,mensal,sim,0
391,baixo_risco,42,30807,feminino,solteiro,0,1,mensal,sim,0
392,baixo_risco,43,30791,feminino,solteiro,0,1,mensal,sim,0
393,baixo_risco,26,30618,masculino,solteiro,0,0,mensal,NA,0
394,baixo_risco,42,30580,masculino,NA,0,0,NA,sim,NA
395,baixo_risco,42,30547,masculino,solteiro,0,1,mensal,sim,0
396,baixo_risco,40,30546,feminino,casado,0,2,mensal,sim,0
397,baixo_risco,34,30436,masculino,solteiro,NA,0,mensal,NA,0
398,baixo_risco,35,30422,feminino,NA,0,NA,mensal,sim,0
399,medio_risco,35,30359,masculino,casado,1,1,mensal,sim,0
400,alto_risco,40,30273,masculino,casado,0,1,mensal,sim,0
401,baixo_risco,43,30268,masculino,solteiro,0,0,mensal,sim,0
402,baixo_risco,35,30256,feminino,solteiro,0,0,mensal,sim,0
403,baixo_risco,41,30060,feminino,solteiro,0,NA,mensal,sim,0
404,alto_risco,36,29986,masculino,divorciado,2,6,semanal,nao,NA
