ano,estado,municipio,t_agua,t_banagua,t_lixo,t_luz,T_ANALF18M,T_ATRASO_2_BASICO,T_ATRASO_2_FUND,T_ATRASO_2_MED
2010,Rondônia,CANDEIAS DO JAMARI,95.88,74.32,76.96,95.28,11.93,28.3,24.41,4.21
2010,Rondônia,CASTANHEIRAS,95.22,87.36,90.07,97.44,15.6,18.28,13.04,2.74
2010,Rondônia,CHUPINGUAIA,85.16,83.49,87.79,92.11,11.19,20.85,14.93,5.04
2010,Rondônia,CUJUBIM,94.18,66.32,84.27,91.47,13.01,25.54,23.24,12.15
2010,Rondônia,GOVERNADOR JORGE TEIXEIRA,94.71,76.85,95.78,94.34,14.64,28.16,24.82,5.44
2010,Rondônia,ITAPUÃ DO OESTE,91.75,68.43,88.53,97.72,14.24,27.77,22.43,8.19
2010,Rondônia,MINISTRO ANDREAZZA,92.14,87.48,100,97.85,13.93,22.36,21.14,2.16
2010,Rondônia,MIRANTE DA SERRA,96.64,80.66,86.1,96.59,14.71,17.21,13.1,5.98
2010,Rondônia,MONTE NEGRO,98.33,77.85,86.05,95.85,15.74,16.58,12.29,11.35
2010,Rondônia,NOVA UNIÃO,90.86,76.07,95.48,96.98,15.11,29.3,23.64,5.36
2010,Rondônia,PARECIS,87.26,78.77,97.33,86.86,16.03,25.36,20.79,2.7
2010,Rondônia,PIMENTEIRAS DO OESTE,96.71,82.16,92.72,95.07,10.4,17.82,16.74,3.3
2010,Rondônia,PRIMAVERA DE RONDÔNIA,96.29,86.03,98.25,96.79,14.63,22.63,17.36,3.32
2010,Rondônia,SÃO FELIPE D'OESTE,92.1,90.8,93.56,99.33,15.9,14.02,9.07,12.74
2010,Rondônia,SÃO FRANCISCO DO GUAPORÉ,96.26,70.72,84.89,93.27,10.42,19.85,14.43,10.74
2010,Rondônia,SERINGUEIRAS,96.9,74.41,90.03,96,11.41,28.61,21.95,18.21
2010,Rondônia,TEIXEIRÓPOLIS,95.05,89.33,81.91,98.65,14.04,21.76,18.73,4.38
2010,Rondônia,THEOBROMA,96.15,71.98,93.06,95.37,16.37,32.25,27.81,10.01
2010,Rondônia,URUPÁ,93.24,81.59,92.5,96.94,15.49,20.91,16.03,11.15
2010,Rondônia,VALE DO ANARI,93.37,62.07,97.72,89.36,16.45,25.4,22.09,10.56
2010,Rondônia,VALE DO PARAÍSO,96.71,83.3,93.74,98.1,14.13,20.81,15.63,10.98
2010,Acre,ACRELÂNDIA,93.87,55.29,97.44,94.56,17.11,32.03,28.56,18.86
2010,Acre,ASSIS BRASIL,80.31,40.79,96.83,84.4,22.42,28.07,25.05,6.43
2010,Acre,BRASILÉIA,91.48,53.24,95.88,91.25,19.58,27.94,26.29,9.76
2010,Acre,BUJARI,81.12,41.89,94.07,94.47,26.78,26.64,24.22,10.75
2010,Acre,CAPIXABA,86.19,30.45,95.43,93.98,23.84,33.4,28.97,3.95
2010,Acre,CRUZEIRO DO SUL,79.14,38.88,84.78,94.73,20.36,20.63,18.02,5.35
2010,Acre,EPITACIOLÂNDIA,89.66,45.68,92.48,93.75,17.72,21.95,18.15,11.36
2010,Acre,FEIJÓ,69.53,26.02,89.65,65.41,37.81,34.32,32.2,3.13
2010,Acre,JORDÃO,46.28,8.66,99.29,41.83,29.87,46.91,35.3,33.16
2010,Acre,MÂNCIO LIMA,80.26,28.19,76.74,85.34,26.18,22.73,17.67,4.86
2010,Acre,MANOEL URBANO,80.41,30.12,74.53,76.99,34.77,33.81,31.07,5.88
2010,Acre,MARECHAL THAUMATURGO,50.76,9.33,95.1,51.51,38.36,40.48,33.3,26.76
2010,Acre,PLÁCIDO DE CASTRO,91.46,44.68,87.36,98.57,20.1,22.18,18.68,11.56
2010,Acre,PORTO WALTER,44.36,17.37,51.78,69.39,37.41,35.28,30.77,11.79
2010,Acre,RIO BRANCO,94.09,62.1,97.38,99.34,9.71,14.45,13.39,4.33
2010,Acre,RODRIGUES ALVES,71.48,10.89,95.36,89.56,34.46,26.11,20.92,11.79
2010,Acre,SANTA ROSA DO PURUS,65.93,28.21,91.82,54.3,27.62,50.5,48.6,15.94
2010,Acre,SENADOR GUIOMARD,92.31,52.88,93.99,99.06,19.28,23.7,21.38,7.03
2010,Acre,SENA MADUREIRA,82.48,36.48,91.77,82.95,26.81,28.15,25.85,4.31
2010,Acre,TARAUACÁ,60.4,19.3,84.42,70.47,34.37,36.52,36.67,3.56
2010,Acre,XAPURI,86.75,51.78,91.56,84.1,24.14,26.78,25.04,14.34
2010,Acre,PORTO ACRE,84.45,40.21,93.43,95.9,25.65,26.7,22.38,19.52
2010,Amazonas,ALVARÃES,48.93,25.53,88.14,94.36,22.53,39.51,34.61,4.62
2010,Amazonas,AMATURÁ,66.65,37.25,73.1,77.53,24.66,38.82,33.41,0
2010,Amazonas,ANAMÃ,58.47,46.79,96.3,93.25,17.42,24.7,21.32,2.5
2010,Amazonas,ANORI,66.86,52.94,75.11,88.44,21.15,32.43,28.39,8.11
2010,Amazonas,APUÍ,86.73,46.5,91.35,82.12,11.64,22.48,18.28,8.23
2010,Amazonas,ATALAIA DO NORTE,36.29,17.52,50.61,60.84,37.39,51.46,43.91,14.32
2010,Amazonas,AUTAZES,57.01,24.55,90.34,81.35,17.11,34.27,28.17,10.81
2010,Amazonas,BARCELOS,49.81,37.94,92.93,75.46,35.24,43.23,39.78,5.94
2010,Amazonas,BARREIRINHA,55.14,35.69,67.93,78.85,11.43,31.32,28.7,9.91
2010,Amazonas,BENJAMIN CONSTANT,53.48,22.34,76.16,86.36,24.12,26.75,18.64,7.91
2010,Amazonas,BERURI,54.61,21.95,76.23,83.61,27.95,39.6,33.66,8.84
2010,Amazonas,BOA VISTA DO RAMOS,58.8,36.65,88.32,77.04,8.61,34.72,32.37,13.34
2010,Amazonas,BOCA DO ACRE,67.42,28.18,74.81,83.51,29.56,31.18,27.34,9.91
2010,Amazonas,BORBA,54.65,30.97,95.38,81.19,17.29,36.38,30.4,8.77
2010,Amazonas,CAAPIRANGA,29.69,43.17,83.59,91.4,16.27,35.76,31.58,3.61
2010,Amazonas,CANUTAMA,73.71,53.11,72.04,79.38,31.5,41.63,36.74,13.44
2010,Amazonas,CARAUARI,64.62,31.13,91.3,92.57,31.44,34.68,31.7,5.45
2010,Amazonas,CAREIRO,56.5,32.3,98.47,88.45,14.86,33.73,25.62,16.59
2010,Amazonas,CAREIRO DA VÁRZEA,14.95,16.07,88.71,88.19,17.94,31.07,26.7,5.95
2010,Amazonas,COARI,32.29,51.77,85.17,88.37,18.67,35.88,29.05,15.35
2010,Amazonas,CODAJÁS,63.71,47.59,88.13,92.78,20.39,34.1,27.66,14.52
2010,Amazonas,EIRUNEPÉ,52.29,23.75,45.84,82.73,36.14,33.32,27.31,12.5
2010,Amazonas,ENVIRA,44.82,24.55,91.75,73.34,35.05,42.44,38.27,16.14
2010,Amazonas,FONTE BOA,67.64,31.25,66.57,88.32,26.62,33.81,28.01,11.11
2010,Amazonas,GUAJARÁ,62.11,15.92,78.49,66.5,35.2,41.99,37.39,8.4
2010,Amazonas,HUMAITÁ,77.32,58.58,91.88,90.73,18.54,38.28,31.34,13.66
2010,Amazonas,IPIXUNA,41.52,15.3,74.46,66.44,40.62,38.92,35.54,11.66
2010,Amazonas,IRANDUBA,70.95,55.44,91.96,94.68,14.38,35.42,29.15,16.55
2010,Amazonas,ITACOATIARA,78.88,62.11,97.62,92.63,9.94,25.49,21.93,8.93
2010,Amazonas,ITAMARATI,52.1,19.03,52.8,69.27,40.71,45.36,40.9,3.23
2010,Amazonas,ITAPIRANGA,82.78,48.43,91.65,89.43,9.26,28.3,24.27,11.87
2010,Amazonas,JAPURÁ,48.06,31.51,43.83,86.57,29.28,44.05,38.99,21.5
2010,Amazonas,JURUÁ,47.97,27.35,77.56,89.02,36.45,50.91,44.21,27.76
2010,Amazonas,JUTAÍ,63.7,14.65,20.16,85.11,30.74,47.65,41.31,18.15
2010,Amazonas,LÁBREA,48.22,41.87,81.31,79.79,31.17,39.3,32.44,4.85
2010,Amazonas,MANACAPURU,70.31,55.6,93.78,90.08,17.11,25.24,20.19,7.23
2010,Amazonas,MANAQUIRI,41.09,31.34,97.6,75.21,11.52,34.53,29.05,22.12
2010,Amazonas,MANAUS,89.65,83.55,98.29,99.63,4,19.55,14.38,9.96
2010,Amazonas,MANICORÉ,61.74,30.63,90.5,83.5,18.27,31.96,27.54,10.27
2010,Amazonas,MARAÃ,49.73,29.03,83.79,90.05,19.38,47.68,41.2,20.36
2010,Amazonas,MAUÉS,53.85,40.49,97.43,76.82,11.23,27.95,19.97,6.26
2010,Amazonas,NHAMUNDÁ,47.52,35.61,88.92,80.17,9.85,25.96,19.78,7.58
2010,Amazonas,NOVA OLINDA DO NORTE,55.94,25.53,95.65,67.19,13.99,40.49,34.96,14.75
2010,Amazonas,NOVO AIRÃO,65.45,44.34,97.46,86.35,16.66,29.73,26.44,6.46
2010,Amazonas,NOVO ARIPUANÃ,62.61,29.59,42.41,79.16,21.18,34.14,28.31,7.81
2010,Amazonas,PARINTINS,73.24,50.17,91,84.92,6.57,18.26,14.38,8.22
2010,Amazonas,PAUINI,49.52,15.6,49.27,69.96,30.96,53.83,48.84,13.9
2010,Amazonas,PRESIDENTE FIGUEIREDO,83.42,74.67,100,94.6,7.82,28.02,22.77,2.28
2010,Amazonas,RIO PRETO DA EVA,79.11,71.7,91.76,96.48,12.13,28.96,23.65,12.53
2010,Amazonas,SANTA ISABEL DO RIO NEGRO,45.24,23.12,94.26,52.51,33.43,24.96,18.92,12.9
2010,Amazonas,SANTO ANTÔNIO DO IÇÁ,50.55,11,65.57,89.18,23.18,42.35,37.49,4.52
2010,Amazonas,SÃO GABRIEL DA CACHOEIRA,43.43,27.52,91.47,65.48,15.87,34.7,28.54,2.29
2010,Amazonas,SÃO PAULO DE OLIVENÇA,38.51,17.23,0.06,70.07,24.86,43.38,36.04,12.78
2010,Amazonas,SÃO SEBASTIÃO DO UATUMÃ,68.33,43.03,91.67,75.85,11.16,33.36,28.15,7.13
2010,Amazonas,SILVES,54.15,32.66,97.7,81.81,8.55,23.3,18.1,9.96
2010,Amazonas,TABATINGA,73.56,37.13,92.08,92.41,15.63,33.23,24.69,23.19
2010,Amazonas,TAPAUÁ,47.23,46.99,80.94,80.77,33.62,37.6,32.12,12.04
2010,Amazonas,TEFÉ,79.11,46.53,79.26,96.39,15.65,26.79,21.56,6.01
2010,Amazonas,TONANTINS,32.38,9.49,61.9,79.38,21.83,36.9,32.58,7.05
2010,Amazonas,UARINI,60.95,21.38,79.99,90.96,20.46,42.43,34.91,32.8
2010,Amazonas,URUCARÁ,80.65,53.58,96.36,93.63,8.89,24.04,18.15,14.7
2010,Amazonas,URUCURITUBA,64.7,46.98,76.41,79.07,10.06,31.19,25.82,10.26
2010,Roraima,AMAJARI,55.65,25.41,100,48.19,39.65,34,31.44,0
2010,Roraima,ALTO ALEGRE,65.14,33.82,98.69,54.83,40.86,20.78,16.11,6.18
2010,Roraima,BOA VISTA,98.7,89.2,97.76,99.29,6.27,17.4,14.26,5.73
2010,Roraima,BONFIM,91.78,43.28,80.78,70.62,14.71,29.11,25.25,17.69
2010,Roraima,CANTÁ,93.26,44.13,97.59,81.61,19.01,28.18,24.73,6.22
2010,Roraima,CARACARAÍ,88.5,61.25,95.61,89.18,14.48,24.84,22.79,5.22
2010,Roraima,CAROEBE,94.48,59.6,83.95,93.27,13.39,20.58,15.49,6.6
2010,Roraima,IRACEMA,80.99,57.33,96.26,76.84,31.57,28.53,24.33,7.09
2010,Roraima,MUCAJAÍ,94.38,66.41,94.9,91.56,18.62,26.88,24.98,6.55
2010,Roraima,NORMANDIA,65.16,35.64,66.36,53.71,13.7,29.34,23.88,22.33
2010,Roraima,PACARAIMA,79.57,44.16,95.3,74.53,10.79,24.01,19,7.71
2010,Roraima,RORAINÓPOLIS,87.9,47.32,98.17,91,15.98,34.06,31.84,0
2010,Roraima,SÃO JOÃO DA BALIZA,93.77,72.54,87.44,92.38,12.63,20.11,16.47,9.71
2010,Roraima,SÃO LUIZ,94.87,78.15,88.77,96.51,13.27,31.36,26.1,8.74
2010,Roraima,UIRAMUTÃ,47.3,9.57,53.15,27.41,31.63,43.09,39.99,2.81
2010,Pará,ABAETETUBA,68.86,44.71,97.86,91.8,14.97,31.04,24.47,12.15
2010,Pará,ABEL FIGUEIREDO,91.76,63.79,91.23,95.97,19.24,28.13,23.14,8.21
2010,Pará,ACARÁ,64.01,20.25,78.48,73.66,22.85,53.11,46.22,16.63
2010,Pará,AFUÁ,26.56,14.79,96.9,70.23,31.73,45.6,38.19,5.74
2010,Pará,ÁGUA AZUL DO NORTE,94.37,72.93,93.72,94.23,12.56,37.05,34.26,8.1
2010,Pará,ALENQUER,79.14,28.88,81.15,73.7,17.15,36.53,29.67,13.6
2010,Pará,ALMEIRIM,78.03,46.54,91.01,86.42,14.85,35.3,28.25,15.57
2010,Pará,ALTAMIRA,86.79,65.31,91.05,92.81,13.41,23.16,18.66,13.6
2010,Pará,ANAJÁS,21.06,11.79,89.43,72.97,36.1,49.57,43.76,19.48
2010,Pará,ANANINDEUA,92.1,78.93,97.83,99.85,3.62,22.32,17.35,9.43
2010,Pará,ANAPU,84.69,24.33,74.44,75.5,20.98,41.14,34.06,4.74
2010,Pará,AUGUSTO CORRÊA,82.76,25.07,59.19,90.35,28.83,36.53,30.89,12.73
2010,Pará,AURORA DO PARÁ,83.68,39.58,84.48,80.6,25.21,43.36,35.71,14.13
2010,Pará,AVEIRO,66.97,24.13,53.95,76.24,15.12,40.3,34.91,11.47
2010,Pará,BAGRE,43.17,14.56,82.39,64.35,26.08,48.67,44.57,12.17
2010,Pará,BAIÃO,80.15,45.79,66.7,88.35,14.93,34.45,29.49,9.3
2010,Pará,BANNACH,87.7,67.44,87.61,86.39,19.54,25.42,20.87,10.92
2010,Pará,BARCARENA,82,62.13,98.61,96.48,9.17,30.51,24.07,17.48
2010,Pará,BELÉM,96.09,86.84,97.15,99.76,3.47,22.49,17.67,8.84
2010,Pará,BELTERRA,68.7,37.92,67.13,87.89,13.57,29.18,22.04,14.85
2010,Pará,BENEVIDES,94.01,76.75,93.52,99.77,7.3,25.2,19.4,16.64
2010,Pará,BOM JESUS DO TOCANTINS,88.44,50.48,86.54,82.83,22.88,37.89,33.98,9.59
2010,Pará,BONITO,88.71,32.4,77.82,95.82,23.23,43,37.23,15.12
2010,Pará,BRAGANÇA,73.73,55.22,83.88,95.73,16.94,32.18,25.45,19.48
2010,Pará,BRASIL NOVO,81.02,52.48,92.7,85.9,19.15,25.41,20.2,13.17
2010,Pará,BREJO GRANDE DO ARAGUAIA,93.36,42.1,70.83,90.16,21.85,32.03,28.12,9.74
2010,Pará,BREU BRANCO,88.19,42.8,98.1,97.4,22.15,35.11,29.29,11.81
2010,Pará,BREVES,45.63,22.97,95.17,74.62,26.91,50.49,43.9,16.48
2010,Pará,BUJARU,73.37,23.83,85.04,81.41,15.85,37.72,32.32,11.18
2010,Pará,CACHOEIRA DO PIRIÁ,71.32,6.68,77.52,65.68,30.96,41.08,35.8,10.88
2010,Pará,CACHOEIRA DO ARARI,76.66,31.57,86.9,72.76,14.64,45.27,40.4,16.64
2010,Pará,CAMETÁ,62.32,43.07,88.13,85.35,11.43,35.82,28.72,12.94
2010,Pará,CANAÃ DOS CARAJÁS,94.89,62.11,98.4,98.59,10.65,24.14,17.79,10.1
2010,Pará,CAPANEMA,90.45,56.34,96.27,99,14.87,27.58,21.01,8.2
2010,Pará,CAPITÃO POÇO,86.31,47.99,98.87,90.75,26.2,39.99,31.99,21.03
2010,Pará,CASTANHAL,92.91,67.2,96.08,99.51,8.39,24.41,18.98,10.27
2010,Pará,CHAVES,27.88,8.91,77.52,62.55,28.92,55.52,50.46,4.02
2010,Pará,COLARES,88.59,53.01,88.93,95.48,11.36,30.58,23.26,20.92
2010,Pará,CONCEIÇÃO DO ARAGUAIA,89.89,71.41,94.09,88.52,15.51,24.52,19.49,8.24
2010,Pará,CONCÓRDIA DO PARÁ,82.49,28.9,83.71,91.68,22.24,40.46,32.77,12.18
2010,Pará,CUMARU DO NORTE,80.98,43.16,78.53,71.58,26.19,33.88,28.2,20.81
2010,Pará,CURIONÓPOLIS,69.93,55.97,73.45,99.22,19.71,26.07,20.4,10.42
2010,Pará,CURRALINHO,33.84,17.28,69.27,73.05,23.32,49.58,41.81,17.43
2010,Pará,CURUÁ,78.44,19.07,36.72,84.34,15.77,27.32,23.52,9.1
2010,Pará,CURUÇÁ,91.51,61.26,80.59,98.63,11.73,35.82,29.28,10.55
2010,Pará,DOM ELISEU,83.71,43.74,86.19,96.18,19.23,26.21,21.29,11.84
2010,Pará,ELDORADO DOS CARAJÁS,91.16,37.97,53.35,90.13,23.21,34.86,27.87,7.59
2010,Pará,FARO,76.32,41.29,54.08,85.28,11.68,34.44,25.62,20.29
2010,Pará,FLORESTA DO ARAGUAIA,68.6,45.07,54.34,81.47,20.37,36.54,33.36,8.92
2010,Pará,GARRAFÃO DO NORTE,80.5,24.21,53.43,79.33,33.1,47.93,40.57,18.8
2010,Pará,GOIANÉSIA DO PARÁ,85.42,49.96,88.59,97.16,24.42,39.41,34.52,19.47
2010,Pará,GURUPÁ,39.19,30.91,96.62,73.5,27.26,50.07,44.41,7.42
2010,Pará,IGARAPÉ-AÇU,85.97,57.02,90.37,94.98,16.87,34.47,27.76,15.18
2010,Pará,IGARAPÉ-MIRI,47.69,25.34,90.63,82.56,20.56,42.02,35.86,14.72
2010,Pará,INHANGAPI,77.37,29.67,95.78,92.2,17,40.91,32.76,20.79
2010,Pará,IPIXUNA DO PARÁ,76.56,43.45,83.44,77.37,24.57,36.96,32.4,6.38
2010,Pará,IRITUIA,82.58,38.5,87.16,91.26,21.43,38.27,31.37,25.3
2010,Pará,ITAITUBA,85.39,54.43,93.05,94.58,15.13,30.29,25.9,15.5
2010,Pará,ITUPIRANGA,83.72,27.9,82.45,88.57,25.13,42.81,36.87,14.41
2010,Pará,JACAREACANGA,68.44,20.5,68.44,85.15,29.01,58.62,51.74,55.31
2010,Pará,JACUNDÁ,91.28,52.97,90.81,97.42,17.37,29.62,24.95,9.23
2010,Pará,JURUTI,68.19,42.72,96.72,81.49,9.75,28.1,21.22,13.51
2010,Pará,LIMOEIRO DO AJURU,24.73,16.82,95.52,79.52,16.11,42.55,34.57,20.84
2010,Pará,MÃE DO RIO,90.17,55.52,92.02,95.17,19.05,37.93,34.03,4.89
2010,Pará,MAGALHÃES BARATA,93.5,64.8,72.65,98.1,11.56,31.34,26.29,9.74
2010,Pará,MARABÁ,91.19,60.04,87.39,96.84,12.18,26.08,22.09,9.36
2010,Pará,MARACANÃ,80.26,47.25,67.34,92.3,13.19,37.4,31.48,23.18
2010,Pará,MARAPANIM,88.6,55.18,91.54,98.44,10.22,35.27,29.56,13.25
2010,Pará,MARITUBA,89.79,78.47,88.94,99.97,5.03,24.78,20.12,14.96
2010,Pará,MEDICILÂNDIA,76.29,37.87,77.56,86.56,20.02,34.02,30.12,9.9
2010,Pará,MELGAÇO,21.93,13.39,83.13,64.06,39.7,55.54,48.55,26.59
2010,Pará,MOCAJUBA,76.1,42.65,90.44,83.19,11.89,37.55,29.72,17.63
2010,Pará,MOJU,81.68,27.84,88.91,84.32,20.36,44.76,39.07,15.46
2010,Pará,MONTE ALEGRE,79.96,29.2,75.21,82.69,15.72,28.29,23.29,3.81
2010,Pará,MUANÁ,51.45,31.41,88.9,76.73,14.15,38.29,33.18,12.95
2010,Pará,NOVA ESPERANÇA DO PIRIÁ,81.75,21.76,90.28,73.4,28.61,43.16,36.55,20.33
2010,Pará,NOVA IPIXUNA,87.59,34.02,87.79,93.88,23.91,33.99,28.44,17.18
2010,Pará,NOVA TIMBOTEUA,90.57,38.27,95.21,91.6,21.55,33.68,26.87,19.22
2010,Pará,NOVO PROGRESSO,92.52,80.18,94.63,94.71,9.66,23.05,18.85,8.99
2010,Pará,NOVO REPARTIMENTO,78.96,31.97,88.2,87.86,22.35,40.08,35.24,8.46
2010,Pará,ÓBIDOS,63.35,30.08,81.92,77.46,13.73,25.34,21.37,9.01
2010,Pará,OEIRAS DO PARÁ,67.95,22.18,88.37,74.52,19.85,46.73,38.37,23.99
2010,Pará,ORIXIMINÁ,54.63,39.03,80.48,86.22,12.49,27.94,22.3,12.36
2010,Pará,OURÉM,87.49,44.83,95.5,97.4,22.57,36.44,31.2,17.96
2010,Pará,OURILÂNDIA DO NORTE,93.28,60.61,95.98,93.02,13.53,31.32,24.95,12.97
2010,Pará,PACAJÁ,79.89,26.99,61.48,72.7,23.46,45.52,40.59,8.22
2010,Pará,PALESTINA DO PARÁ,89.33,29.83,57.86,91.03,25.46,34.69,26.79,8.92
2010,Pará,PARAGOMINAS,93.2,64.2,97.17,98.67,13.98,26.81,22.24,12.63
2010,Pará,PARAUAPEBAS,93.58,75.75,98.3,99.8,8.68,19.1,14.45,10.82
2010,Pará,PAU D'ARCO,70.6,55.24,75,91.55,24.69,39.23,33.04,15.52
2010,Pará,PEIXE-BOI,90.31,48.37,79.4,91.9,23.92,30.39,23.68,18.36
2010,Pará,PIÇARRA,85.84,32.29,94.64,85.01,23.99,35.78,29.42,15.07
2010,Pará,PLACAS,76.33,32.47,79.77,71.98,18.53,28.07,22.72,10.35
2010,Pará,PONTA DE PEDRAS,67.31,38.74,76.25,74.84,15.69,38.81,32.86,13.28
2010,Pará,PORTEL,62.51,32.19,88.79,71.78,32.68,52.36,45.8,32.32
2010,Pará,PORTO DE MOZ,60.63,32.09,56.16,77.54,23.23,51.32,43.73,17.02
2010,Pará,PRAINHA,62.85,16.04,50.9,63.39,18.98,42.26,36.15,20.06
2010,Pará,PRIMAVERA,92.36,49.21,81.31,96.24,22.81,43.99,35.65,29.34
2010,Pará,QUATIPURU,78.66,36.82,82.13,97.1,25.08,43.55,36.57,14.06
2010,Pará,REDENÇÃO,90.25,70.17,87.43,98.96,12.56,21.72,16.22,9.61
2010,Pará,RIO MARIA,91.21,67.76,91.72,98.72,17.29,29.13,22.43,11.41
2010,Pará,RONDON DO PARÁ,84.44,65.52,93.72,89.83,21.75,31.11,24.99,10.7
2010,Pará,RURÓPOLIS,79.87,27.71,79.03,62.89,19.39,39.38,36.42,12.39
2010,Pará,SALINÓPOLIS,91.51,65.15,87.59,99.23,11.99,27.45,21.93,12.01
2010,Pará,SALVATERRA,96.19,60.13,55.26,96.93,9.79,35.84,30.08,15.12
2010,Pará,SANTA BÁRBARA DO PARÁ,92.87,61.17,91.4,98.29,9.01,28.33,22.07,14.6
2010,Pará,SANTA CRUZ DO ARARI,84.54,48.49,73.55,95.13,12.37,37.27,31.64,24.29
2010,Pará,SANTA ISABEL DO PARÁ,90.7,66.32,93.16,98.97,10.15,23.54,19.87,11.3
2010,Pará,SANTA LUZIA DO PARÁ,84.67,27.86,96.69,93.98,27.08,35,28.65,10.65
2010,Pará,SANTA MARIA DAS BARREIRAS,88.35,51.79,81.13,77.51,19.87,38.72,34.91,18.9
2010,Pará,SANTA MARIA DO PARÁ,89.73,60.37,91.18,97.03,21.67,40.01,32.77,23.42
2010,Pará,SANTANA DO ARAGUAIA,89.45,60.88,95.8,85.67,15.84,30.06,26.11,12.38
2010,Pará,SANTARÉM,79.61,62.09,94.65,90.97,8.07,16.61,12.21,10.04
2010,Pará,SANTARÉM NOVO,85.65,46.38,87.21,97.81,18.86,35.92,30.65,13.5
2010,Pará,SANTO ANTÔNIO DO TAUÁ,93.44,67.05,76.53,98.13,12.45,27.88,22.4,13.02
2010,Pará,SÃO CAETANO DE ODIVELAS,89.79,52.72,89.71,98.59,12.25,36.41,28.48,18.71
2010,Pará,SÃO DOMINGOS DO ARAGUAIA,94.05,36.25,83.27,90.26,21.48,33.97,30.46,7.56
2010,Pará,SÃO DOMINGOS DO CAPIM,68.89,27.15,99.18,73.16,24,44.85,37.75,24.49
2010,Pará,SÃO FÉLIX DO XINGU,89.01,50.41,92.73,83.19,12.26,38.17,34.13,12.03
2010,Pará,SÃO FRANCISCO DO PARÁ,87.27,56.38,97.28,98.71,17.25,27.56,20.88,4.26
2010,Pará,SÃO GERALDO DO ARAGUAIA,88.03,54.98,95.01,93.81,20.34,41.58,35.64,14.48
2010,Pará,SÃO JOÃO DA PONTA,89.56,50.48,100,96.87,9.22,32.33,28.03,14.41
